##NAMES=Asgruvanite-(Ce)
##RRUFFID=R250147
##IDEAL CHEMISTRY=Ce_16_Ca_5_Al(SiO_4_)_6_(AsO_3_)_8_(CO_3_)_2_Cl_4_F_3_(OH)_2_
##LOCALITY=Åsgruvan Fe-skarn deposit, Norberg, Västmanland, Sweden
##OWNER=Swedish Museum of Natural History
##SOURCE=Dan Holtstam
##DESCRIPTION=Greyish green to nearly colourless anhedral, occasionally elongated grains.
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R250147
##MEASURED CHEMISTRY=[(Ce_4.89_Nd_3.36_Y_3.34_La_1.84_Pr_0.81_Sm_0.67_Gd_0.53_Dy_0.32_Er_0.15_Yb_0.08_Tb_0.07_Ho_0.06_Tm_0.02_Lu_0.01_)Ca_4.85_Pb_0.01_](Al_0.55_Fe_0.22_Cr_0.18_)(Si_6.00_P_0.06_)(As_3_C_7.95_Sb_3_C_0.04_)(C_1.88_S_4_C_0.12_)[(Cl_3.82_F_0.18_)(F_1.54_OH_1.46_)(OH)_2_] ; Based on 38 cations, with C calculated from (C+S)=2 apfu (atoms per formula unit) and OH from (Cl+F+OH)=9 apfu
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=515
   344.8560     ,   14635.00    
   346.7750     ,   14532.00    
   348.6910     ,   14517.00    
   350.6060     ,   14542.00    
   352.5210     ,   14627.00    
   354.4360     ,   14446.00    
   356.3510     ,   14485.00    
   358.2650     ,   14444.00    
   360.1780     ,   14412.00    
   362.0920     ,   14437.00    
   364.0050     ,   14469.00    
   365.9170     ,   14612.00    
   367.8290     ,   14740.00    
   369.7410     ,   14874.00    
   371.6520     ,   14743.00    
   373.5610     ,   14820.00    
   375.4720     ,   15121.00    
   377.3820     ,   15140.00    
   379.2920     ,   15227.00    
   381.2010     ,   15396.00    
   383.1100     ,   15368.00    
   385.0190     ,   15515.00    
   386.9270     ,   15713.00    
   388.8350     ,   15727.00    
   390.7430     ,   15904.00    
   392.6500     ,   15986.00    
   394.5570     ,   16290.00    
   396.4610     ,   16285.00    
   398.3670     ,   16455.00    
   400.2730     ,   16822.00    
   402.1780     ,   16759.00    
   404.0830     ,   16934.00    
   405.9870     ,   17035.00    
   407.8910     ,   17265.00    
   409.7930     ,   17468.00    
   411.6960     ,   17593.00    
   413.5990     ,   17799.00    
   415.5020     ,   18038.00    
   417.4040     ,   18288.00    
   419.3040     ,   18504.00    
   421.2050     ,   18737.00    
   423.1060     ,   18852.00    
   425.0070     ,   19096.00    
   426.9070     ,   19363.00    
   428.8050     ,   19366.00    
   430.7040     ,   19596.00    
   432.6040     ,   19741.00    
   434.5020     ,   19863.00    
   436.3990     ,   20094.00    
   438.2970     ,   20142.00    
   440.1940     ,   20198.00    
   442.0890     ,   20469.00    
   443.9860     ,   20392.00    
   445.8830     ,   20475.00    
   447.7790     ,   20415.00    
   449.6720     ,   20402.00    
   451.5680     ,   20134.00    
   453.4630     ,   20327.00    
   455.3550     ,   20279.00    
   457.2500     ,   20013.00    
   459.1430     ,   19967.00    
   461.0350     ,   20002.00    
   462.9280     ,   19708.00    
   464.8180     ,   19701.00    
   466.7110     ,   19757.00    
   468.6030     ,   19737.00    
   470.4920     ,   19564.00    
   472.3830     ,   19469.00    
   474.2740     ,   19705.00    
   476.1620     ,   19503.00    
   478.0530     ,   19501.00    
   479.9400     ,   19712.00    
   481.8290     ,   19645.00    
   483.7160     ,   19299.00    
   485.6050     ,   19560.00    
   487.4930     ,   19726.00    
   489.3790     ,   19138.00    
   491.2660     ,   19536.00    
   493.1510     ,   19432.00    
   495.0380     ,   19332.00    
   496.9220     ,   19385.00    
   498.8080     ,   19447.00    
   500.6910     ,   19339.00    
   502.5760     ,   19341.00    
   504.4590     ,   19386.00    
   506.3440     ,   19352.00    
   508.2250     ,   19422.00    
   510.1090     ,   19353.00    
   511.9900     ,   19257.00    
   513.8730     ,   19200.00    
   515.7540     ,   19292.00    
   517.6360     ,   19360.00    
   519.5160     ,   19332.00    
   521.3950     ,   19180.00    
   523.2760     ,   19317.00    
   525.1540     ,   19359.00    
   527.0350     ,   19500.00    
   528.9130     ,   19363.00    
   530.7900     ,   19299.00    
   532.6690     ,   19311.00    
   534.5460     ,   19291.00    
   536.4240     ,   19444.00    
   538.3000     ,   19426.00    
   540.1760     ,   19391.00    
   542.0530     ,   19399.00    
   543.9280     ,   19643.00    
   545.8030     ,   19618.00    
   547.6790     ,   19583.00    
   549.5520     ,   19503.00    
   551.4260     ,   19710.00    
   553.3010     ,   19739.00    
   555.1740     ,   19693.00    
   557.0460     ,   19843.00    
   558.9200     ,   19782.00    
   560.7910     ,   19772.00    
   562.6620     ,   19911.00    
   564.5330     ,   19729.00    
   566.4060     ,   19899.00    
   568.2760     ,   19865.00    
   570.1450     ,   19858.00    
   572.0170     ,   19794.00    
   573.8850     ,   19856.00    
   575.7540     ,   20097.00    
   577.6220     ,   19690.00    
   579.4900     ,   19852.00    
   581.3590     ,   19924.00    
   583.2260     ,   19757.00    
   585.0930     ,   19852.00    
   586.9590     ,   19710.00    
   588.8250     ,   19699.00    
   590.6930     ,   19690.00    
   592.5580     ,   19816.00    
   594.4230     ,   19672.00    
   596.2870     ,   19486.00    
   598.1510     ,   19532.00    
   600.0150     ,   19183.00    
   601.8810     ,   19355.00    
   603.7440     ,   19185.00    
   605.6060     ,   19067.00    
   607.4680     ,   19023.00    
