##NAMES=Anorthite
##RRUFFID=R070598
##IDEAL CHEMISTRY=Ca(Al_2_Si_2_O_8_)
##LOCALITY=Eyscott Hill, Keswick, Cumberland, England
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Massive, greyish-green heterogenous aggregates on plagioclase matrix. Variety bytownite.
##STATUS=The identification of this mineral has been confirmed only by chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R070598
##MEASURED CHEMISTRY=Na_0.25_K_0.03_Ca_0.72_(Al_1.70_Fe^3+^_0.02_Si_2.28_)O_8_ ; light gray
##DIFFRACTION SAMPLE DESCRIPTION=Powder, with other plagioclase-series minerals
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=780

302.6004, 2450.159
304.5288, 2413.713
306.4573, 2398.368
308.3858, 2406.993
310.3142, 2434.307
312.2427, 2481.596
314.1712, 2543.029
316.0996, 2582.851
318.0281, 2600.038
319.9566, 2592.553
321.8850, 2545.379
323.8135, 2492.938
325.7420, 2445.630
327.6704, 2403.450
329.5989, 2367.729
331.5274, 2338.269
333.4558, 2308.514
335.3843, 2284.304
337.3128, 2248.888
339.2412, 2187.296
341.1697, 2133.267
343.0982, 2104.924
345.0266, 2092.067
346.9551, 2084.969
348.8836, 2084.552
350.8120, 2100.888
352.7405, 2142.754
354.6690, 2177.332
356.5974, 2204.104
358.5259, 2219.639
360.4544, 2210.817
362.3828, 2198.092
364.3113, 2201.596
366.2398, 2220.673
368.1682, 2245.496
370.0967, 2275.856
372.0252, 2310.051
373.9536, 2346.391
375.8821, 2390.311
377.8106, 2442.843
379.7390, 2505.424
381.6675, 2585.968
383.5960, 2679.207
385.5244, 2768.779
387.4529, 2860.678
389.3814, 2905.843
391.3099, 2885.615
393.2383, 2855.136
395.1668, 2826.540
397.0953, 2803.984
399.0237, 2790.791
400.9522, 2785.901
402.8807, 2788.782
404.8091, 2798.977
406.7376, 2802.932
408.6661, 2803.675
410.5945, 2785.607
412.5230, 2731.709
414.4515, 2674.518
416.3799, 2633.054
418.3084, 2594.092
420.2369, 2539.204
422.1653, 2470.774
424.0938, 2405.884
426.0223, 2344.870
427.9507, 2287.833
429.8792, 2234.466
431.8077, 2185.308
433.7361, 2136.055
435.6646, 2096.155
437.5931, 2073.701
439.5215, 2063.895
441.4500, 2061.381
443.3785, 2065.065
445.3069, 2063.091
447.2354, 2053.127
449.1639, 2045.224
451.0923, 2035.745
453.0208, 2037.801
454.9493, 2059.063
456.8777, 2090.692
458.8062, 2123.729
460.7347, 2161.408
462.6631, 2209.407
464.5916, 2267.891
466.5201, 2337.874
468.4485, 2413.815
470.3770, 2518.795
472.3055, 2690.303
474.2339, 2849.065
476.1624, 2979.586
478.0909, 3069.237
480.0193, 3101.978
481.9478, 3086.804
483.8763, 3032.863
485.8047, 2941.876
487.7332, 2867.324
489.6617, 2797.292
491.5901, 2790.432
493.5186, 2861.269
495.4471, 2980.674
497.3755, 3145.553
499.3040, 3347.148
501.2325, 3601.722
503.1609, 3877.726
505.0894, 4137.479
507.0179, 4376.109
508.9464, 4518.727
510.8748, 4534.846
512.8033, 4517.001
514.7318, 4475.737
516.6602, 4403.492
518.5887, 4307.265
520.5172, 4169.106
522.4456, 3959.905
524.3741, 3709.746
526.3026, 3445.773
528.2310, 3174.595
530.1595, 2934.987
532.0880, 2727.306
534.0164, 2557.612
535.9449, 2431.755
537.8734, 2329.662
539.8018, 2259.813
541.7303, 2198.906
543.6588, 2138.306
545.5872, 2078.746
547.5157, 2016.040
549.4442, 1955.627
551.3726, 1913.639
553.3011, 1891.705
555.2296, 1872.500
557.1580, 1853.803
559.0865, 1842.019
561.0150, 1842.053
562.9434, 1839.935
564.8719, 1830.258
566.8004, 1819.797
568.7288, 1812.643
570.6573, 1806.294
572.5858, 1802.457
574.5142, 1798.806
576.4427, 1781.375
578.3712, 1746.638
580.2996, 1722.145
582.2281, 1711.385
584.1566, 1702.659
586.0850, 1695.982
588.0135, 1687.369
589.9420, 1668.370
591.8704, 1658.153
593.7989, 1673.775
595.7274, 1697.931
597.6558, 1713.696
599.5843, 1725.276
601.5128, 1746.887
603.4412, 1778.807
605.3697, 1794.659
607.2982, 1791.969
609.2266, 1786.430
611.1551, 1776.754
613.0836, 1775.074
615.0120, 1792.369
616.9405, 1803.178
618.8690, 1785.918
620.7974, 1769.391
622.7259, 1776.982
624.6544, 1793.512
626.5828, 1794.661
628.5113, 1786.220
630.4398, 1797.527
632.3682, 1828.682
634.2967, 1838.947
636.2252, 1824.015
638.1536, 1807.523
640.0821, 1793.545
642.0106, 1779.594
643.9390, 1766.872
645.8675, 1749.487
647.7960, 1719.398
649.7244, 1691.618
651.6529, 1680.373
653.5814, 1675.348
655.5098, 1660.415
657.4383, 1639.523
659.3668, 1627.092
661.2952, 1622.806
663.2237, 1618.405
665.1522, 1612.417
667.0806, 1615.315
669.0091, 1629.452
670.9376, 1650.368
672.8660, 1678.247
674.7945, 1711.366
676.7230, 1746.574
678.6514, 1789.282
680.5799, 1842.862
682.5084, 1906.283
684.4368, 1980.671
686.3653, 2062.451
688.2938, 2146.711
690.2222, 2232.975
692.1507, 2319.466
694.0792, 2405.823
696.0076, 2498.463
697.9361, 2605.416
699.8646, 2673.354
701.7930, 2694.375
703.7215, 2675.690
705.6500, 2611.557
707.5784, 2522.905
709.5069, 2401.535
711.4354, 2273.900
713.3638, 2145.635
715.2923, 2028.230
717.2208, 1928.690
719.1492, 1847.125
721.0777, 1788.953
723.0062, 1747.297
724.9346, 1704.896
726.8631, 1662.906
728.7916, 1631.808
730.7200, 1612.092
732.6485, 1601.672
734.5770, 1601.279
736.5054, 1609.165
738.4339, 1623.824
740.3624, 1647.839
742.2908, 1690.670
744.2193, 1730.014
746.1478, 1754.890
748.0762, 1777.933
750.0047, 1811.137
751.9332, 1840.523
753.8616, 1854.257
755.7901, 1858.117
757.7186, 1856.746
759.6471, 1850.606
761.5756, 1839.824
763.5040, 1825.187
765.4325, 1810.764
767.3610, 1796.314
769.2894, 1786.473
771.2179, 1782.943
773.1464, 1777.991
775.0748, 1772.553
777.0033, 1763.348
778.9318, 1752.426
780.8602, 1731.790
782.7887, 1693.200
784.7172, 1657.248
786.6456, 1629.848
788.5741, 1610.462
790.5026, 1606.299
792.4310, 1599.917
794.3595, 1574.141
796.2880, 1546.952
798.2164, 1537.401
800.1449, 1535.546
802.0734, 1524.859
804.0018, 1510.686
805.9303, 1508.841
807.8588, 1516.536
809.7872, 1520.201
811.7157, 1520.018
813.6442, 1504.571
815.5726, 1472.650
817.5011, 1440.299
819.4296, 1407.487
821.3580, 1380.101
823.2865, 1358.813
825.2150, 1343.068
827.1434, 1335.364
829.0719, 1324.376
831.0004, 1302.764
832.9288, 1285.951
834.8573, 1281.459
836.7858, 1280.553
838.7142, 1285.920
840.6427, 1285.091
842.5712, 1260.794
844.4996, 1239.588
846.4281, 1248.254
848.3566, 1265.513
850.2850, 1268.282
852.2135, 1264.593
854.1420, 1267.767
856.0704, 1272.460
857.9989, 1263.777
859.9274, 1247.678
861.8558, 1246.154
863.7843, 1255.440
865.7128, 1257.796
867.6412, 1254.238
869.5697, 1254.852
871.4982, 1259.917
873.4266, 1264.738
875.3551, 1269.209
877.2836, 1263.561
879.2120, 1242.082
881.1405, 1241.428
883.0690, 1277.492
884.9974, 1297.263
886.9259, 1279.160
888.8544, 1272.196
890.7828, 1294.772
892.7113, 1314.662
894.6398, 1324.338
