##NAMES=Libyan Desert glass
##RRUFFID=R060357
##IDEAL CHEMISTRY=
##LOCALITY=Libyan Desert, Sahara Desert, Egypt
##OWNER=RRUFF
##SOURCE=Herb Obodda
##DESCRIPTION=Pale tan amorphous fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R060357
##MEASURED CHEMISTRY=Si_1.00_O_2_
##DIFFRACTION SAMPLE DESCRIPTION=Powder, amorphous
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=780

288.1243, 846.9394
290.0527, 852.7984
291.9812, 858.7162
293.9097, 863.2653
295.8381, 865.2773
297.7666, 869.1791
299.6951, 876.5800
301.6235, 883.2013
303.5520, 886.9131
305.4805, 890.1000
307.4089, 895.2863
309.3374, 901.7689
311.2659, 905.5865
313.1943, 904.6068
315.1228, 906.3064
317.0513, 912.1982
318.9797, 918.3786
320.9082, 923.2076
322.8367, 927.5356
324.7651, 932.0516
326.6936, 936.7064
328.6221, 941.0941
330.5505, 944.9665
332.4790, 949.5624
334.4075, 955.5403
336.3359, 961.2799
338.2644, 965.6454
340.1929, 969.7646
342.1213, 974.4462
344.0498, 979.7214
345.9783, 986.0736
347.9067, 993.6793
349.8352, 1000.941
351.7637, 1008.024
353.6921, 1013.899
355.6206, 1017.186
357.5491, 1020.010
359.4775, 1024.186
361.4060, 1029.508
363.3345, 1035.256
365.2629, 1041.541
367.1914, 1046.838
369.1199, 1050.876
371.0483, 1053.996
372.9768, 1055.644
374.9053, 1057.092
376.8337, 1059.117
378.7622, 1061.598
380.6907, 1064.266
382.6191, 1067.088
384.5476, 1070.444
386.4761, 1074.902
388.4045, 1078.367
390.3330, 1079.723
392.2615, 1080.618
394.1899, 1081.975
396.1184, 1083.395
398.0469, 1083.753
399.9753, 1083.478
401.9038, 1084.920
403.8323, 1088.755
405.7607, 1091.837
407.6892, 1092.057
409.6177, 1093.273
411.5461, 1098.107
413.4746, 1103.261
415.4031, 1104.913
417.3315, 1104.490
419.2600, 1105.790
421.1885, 1109.027
423.1169, 1110.159
425.0454, 1106.969
426.9739, 1104.601
428.9023, 1104.214
430.8308, 1104.553
432.7593, 1106.076
434.6877, 1107.173
436.6162, 1105.416
438.5447, 1101.412
440.4731, 1098.093
442.4016, 1096.264
444.3301, 1092.756
446.2585, 1086.276
448.1870, 1079.696
450.1155, 1074.018
452.0439, 1068.197
453.9724, 1061.650
455.9009, 1054.388
457.8293, 1046.410
459.7578, 1037.697
461.6863, 1027.983
463.6147, 1015.806
465.5432, 1005.402
467.4717, 997.5101
469.4001, 990.4273
471.3286, 982.3679
473.2571, 976.3275
475.1855, 974.9233
477.1140, 976.6086
479.0425, 979.2971
480.9709, 983.0135
482.8994, 985.8102
484.8279, 990.0325
486.7563, 987.2559
488.6848, 977.0736
490.6133, 959.8493
492.5417, 935.3515
494.4702, 903.9373
496.3987, 864.2321
498.3271, 819.5155
500.2556, 773.7138
502.1841, 727.0781
504.1125, 684.0372
506.0410, 645.0948
507.9695, 607.1684
509.8979, 569.2584
511.8264, 534.5163
513.7549, 503.8108
515.6833, 476.8409
517.6118, 454.3634
519.5403, 434.3420
521.4688, 414.1292
523.3972, 394.4033
525.3257, 378.1635
527.2542, 365.4958
529.1826, 354.0423
531.1111, 343.8372
533.0396, 334.4019
534.9680, 325.8000
536.8965, 317.6436
538.8250, 309.6463
540.7534, 302.0989
542.6819, 295.2714
544.6104, 288.9684
546.5388, 282.8979
548.4673, 277.0685
550.3958, 271.4386
552.3242, 266.0112
554.2527, 261.1280
556.1812, 256.9915
558.1096, 252.9555
560.0381, 248.3405
561.9666, 244.4824
563.8950, 242.4151
565.8235, 240.6894
567.7520, 237.9249
569.6804, 234.7615
571.6089, 232.3055
573.5374, 230.4653
575.4658, 228.9380
577.3943, 227.6998
579.3228, 227.3020
581.2512, 228.0887
583.1797, 229.0740
585.1082, 229.6277
587.0366, 230.9839
588.9651, 233.8423
590.8936, 237.3375
592.8220, 241.6963
594.7505, 245.6941
596.6790, 247.2504
598.6074, 247.1913
600.5359, 248.2820
602.4644, 250.6414
604.3928, 249.7859
606.3213, 244.1899
608.2498, 238.3902
610.1782, 233.0784
612.1067, 227.1532
614.0352, 220.0617
615.9636, 212.7089
617.8921, 205.1514
619.8206, 197.9597
621.7490, 191.8075
623.6775, 186.3035
625.6060, 180.6333
