##NAMES=Widenmannite
##RRUFFID=R080029
##IDEAL CHEMISTRY=Pb_2_(OH)_2_[(UO_2_)(CO_3_)_2_]
##LOCALITY=Pribram, Bohemia, Czechoslovakia
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Spherical aggregates of tan to colorless acicular crystals
##STATUS=The identification of this mineral is not yet confirmed
##URL=https://www.rruff.net/odr/rruff_sample/R080029
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##FILETYPE=Raman Processed
##RAMAN WAVELENGTH=780

83.81592, 2480.502
85.74438, 2613.907
87.67285, 2843.247
89.60132, 3121.149
91.52979, 3454.868
93.45825, 3765.718
95.38672, 3853.920
97.31519, 3976.572
99.24365, 4147.870
101.1721, 4326.010
103.1006, 4520.028
105.0291, 4706.221
106.9575, 4837.701
108.8860, 4940.826
110.8145, 4915.212
112.7429, 4724.483
114.6714, 4456.061
116.5999, 4116.294
118.5283, 3739.223
120.4568, 3394.400
122.3853, 3075.621
124.3137, 2806.010
126.2422, 2596.452
128.1707, 2415.368
130.0991, 2247.157
132.0276, 2094.388
133.9561, 1963.684
135.8845, 1852.667
137.8130, 1773.574
139.7415, 1729.304
141.6699, 1710.039
143.5984, 1712.095
145.5269, 1737.179
147.4553, 1790.762
149.3838, 1878.589
151.3123, 1981.090
153.2407, 2103.289
155.1692, 2232.004
157.0977, 2367.992
159.0261, 2505.206
160.9546, 2635.097
162.8831, 2755.114
164.8115, 2880.858
166.7400, 3006.797
168.6685, 3145.895
170.5969, 3292.994
172.5254, 3464.123
174.4539, 3672.018
176.3823, 3916.330
178.3108, 4193.752
180.2393, 4505.106
182.1677, 4840.965
184.0962, 5232.087
186.0247, 5610.418
187.9531, 5968.035
189.8816, 6282.040
191.8101, 6454.044
193.7385, 6475.185
195.6670, 6421.878
197.5955, 6281.014
199.5239, 6097.406
201.4524, 5871.473
203.3809, 5631.397
205.3093, 5420.435
207.2378, 5239.931
209.1663, 5076.654
211.0947, 4930.917
213.0232, 4801.553
214.9517, 4696.467
216.8801, 4599.288
218.8086, 4507.857
220.7371, 4414.798
222.6655, 4287.334
224.5940, 4124.601
226.5225, 3936.195
228.4509, 3699.195
230.3794, 3464.000
232.3079, 3240.711
234.2363, 3037.245
236.1648, 2871.074
238.0933, 2738.763
240.0217, 2625.993
241.9502, 2537.514
243.8787, 2456.265
245.8071, 2384.488
247.7356, 2311.446
249.6641, 2225.458
251.5925, 2131.139
253.5210, 2040.271
255.4495, 1952.608
257.3779, 1872.254
259.3064, 1796.300
261.2349, 1732.111
263.1633, 1690.072
265.0918, 1656.742
267.0203, 1619.046
268.9487, 1576.299
270.8772, 1521.674
272.8057, 1448.338
274.7341, 1374.716
276.6626, 1300.349
278.5911, 1229.183
280.5195, 1160.335
282.4480, 1097.788
284.3765, 1047.232
286.3049, 1009.242
288.2334, 979.1552
290.1619, 957.1010
292.0903, 942.1586
294.0188, 933.4667
295.9473, 932.8617
297.8757, 943.5352
299.8042, 962.4787
301.7327, 983.1546
303.6611, 1003.244
305.5896, 1033.561
307.5181, 1076.502
309.4465, 1124.518
311.3750, 1176.926
