##NAMES=Calcurmolite
##RRUFFID=R070028
##IDEAL CHEMISTRY=(Ca_1-x_Na_x_)_2_(UO_2_)_3_(MoO_4_)_2_(OH)_6-x_·nH_2_O
##LOCALITY=Gornoe, Transbaikal region, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Lemon-yellow massive
##STATUS=The identification of this mineral is not yet confirmed
##URL=https://www.rruff.net/odr/rruff_sample/R070028
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=785

694.2161, 6626.988
696.1446, 6655.024
698.0731, 6654.343
700.0015, 6657.023
701.9300, 6667.006
703.8585, 6659.107
705.7869, 6628.024
707.7154, 6581.742
709.6439, 6516.925
711.5723, 6464.070
713.5008, 6439.495
715.4293, 6391.151
717.3577, 6300.690
719.2862, 6213.355
721.2147, 6143.687
723.1431, 6082.554
725.0716, 6030.897
727.0001, 5966.719
728.9285, 5867.519
730.8570, 5767.910
732.7855, 5693.491
734.7139, 5637.547
736.6424, 5597.523
738.5709, 5563.804
740.4993, 5510.572
742.4278, 5457.258
744.3563, 5457.094
746.2847, 5497.730
748.2132, 5524.889
750.1417, 5541.662
752.0701, 5577.149
753.9986, 5628.907
755.9271, 5727.642
757.8555, 5883.308
759.7840, 6047.618
761.7125, 6214.844
763.6409, 6403.974
765.5694, 6618.258
767.4979, 6870.367
769.4263, 7159.515
771.3548, 7480.433
773.2833, 7838.292
775.2117, 8218.589
777.1402, 8614.973
779.0687, 9031.271
780.9971, 9481.832
782.9256, 9934.923
784.8541, 10399.09
786.7825, 10833.04
788.7110, 11239.26
790.6395, 11599.75
792.5679, 11896.08
794.4964, 12095.24
796.4249, 12187.23
798.3533, 12208.26
800.2818, 12174.53
802.2103, 12070.25
804.1387, 11851.18
806.0672, 11551.22
807.9957, 11262.52
809.9241, 10960.17
811.8526, 10569.97
813.7811, 10112.18
815.7095, 9681.056
817.6380, 9286.688
819.5665, 8910.043
821.4949, 8544.024
823.4234, 8192.373
825.3519, 7864.271
827.2803, 7550.442
829.2088, 7250.248
831.1373, 6964.681
833.0657, 6686.912
834.9942, 6425.436
836.9227, 6188.780
838.8511, 5999.001
840.7796, 5851.768
842.7081, 5735.846
844.6365, 5658.841
846.5650, 5593.045
848.4935, 5532.096
850.4219, 5506.458
852.3504, 5519.696
854.2789, 5544.311
856.2073, 5579.827
858.1358, 5634.777
860.0643, 5718.169
861.9927, 5786.705
863.9212, 5811.927
865.8497, 5820.696
867.7781, 5842.454
869.7066, 5864.679
871.6351, 5863.028
873.5635, 5835.605
875.4920, 5795.990
877.4205, 5761.198
879.3489, 5723.886
881.2774, 5656.572
883.2059, 5561.615
885.1343, 5484.076
887.0628, 5437.395
888.9913, 5389.728
890.9197, 5332.046
892.8482, 5289.358
894.7767, 5254.928
896.7051, 5231.672
898.6336, 5230.418
900.5621, 5239.845
902.4905, 5267.586
904.4190, 5318.844
906.3475, 5371.432
908.2759, 5414.411
910.2044, 5457.575
912.1329, 5513.006
914.0613, 5574.353
915.9898, 5621.982
917.9183, 5642.645
919.8467, 5645.203
921.7752, 5655.426
923.7037, 5676.976
925.6321, 5699.077
927.5606, 5710.159
929.4891, 5701.857
931.4175, 5678.476
933.3460, 5647.288
935.2745, 5609.050
937.2029, 5559.277
939.1314, 5497.619
941.0599, 5408.381
942.9883, 5281.950
944.9168, 5163.887
946.8453, 5073.643
948.7737, 4964.921
950.7022, 4830.245
952.6307, 4694.831
954.5591, 4547.627
956.4876, 4373.336
958.4161, 4184.468
960.3445, 4021.643
962.2730, 3892.729
964.2015, 3768.677
966.1299, 3638.233
968.0584, 3490.905
969.9869, 3325.552
971.9153, 3196.626
973.8438, 3117.383
975.7723, 3051.094
977.7007, 2988.474
979.6292, 2913.678
981.5577, 2831.800
983.4861, 2787.710
985.4146, 2776.814
987.3431, 2766.480
989.2715, 2752.130
991.2000, 2726.771
993.1285, 2706.031
995.0569, 2691.328
996.9854, 2663.191
998.9139, 2635.187
1000.842, 2630.931
1002.771, 2637.954
1004.699, 2633.277
1006.628, 2626.710
1008.556, 2625.242
1010.485, 2613.562
1012.413, 2594.228
1014.342, 2580.296
1016.270, 2567.626
1018.199, 2570.979
1020.127, 2604.237
1022.055, 2613.211
1023.984, 2576.798
1025.912, 2546.805
1027.841, 2540.291
1029.769, 2532.826
1031.698, 2508.323
1033.626, 2497.634
1035.555, 2517.020
1037.483, 2526.980
1039.412, 2517.182
1041.340, 2513.686
1043.269, 2521.307
1045.197, 2526.422
1047.126, 2527.977
1049.054, 2524.796
1050.983, 2516.113
1052.911, 2509.120
1054.839, 2500.887
1056.768, 2487.044
1058.696, 2473.789
1060.625, 2473.811
1062.553, 2486.127
1064.482, 2487.500
1066.410, 2474.652
1068.339, 2462.941
1070.267, 2455.221
1072.196, 2452.240
1074.124, 2450.716
1076.053, 2449.816
1077.981, 2450.521
1079.910, 2446.291
1081.838, 2442.361
1083.766, 2451.858
1085.695, 2454.993
1087.623, 2424.217
1089.552, 2398.418
1091.480, 2416.215
1093.409, 2435.476
1095.337, 2421.761
1097.266, 2401.989
1099.194, 2395.719
1101.123, 2391.464
1103.051, 2381.227
1104.980, 2374.179
1106.908, 2379.611
1108.837, 2379.896
1110.765, 2359.175
1112.693, 2346.168
1114.622, 2355.843
1116.550, 2359.685
1118.479, 2346.973
1120.407, 2340.802
1122.336, 2349.072
1124.264, 2356.706
1126.193, 2359.280
1128.121, 2365.665
1130.050, 2379.352
1131.978, 2374.877
1133.907, 2349.057
1135.835, 2337.779
1137.764, 2341.751
1139.692, 2337.794
1141.620, 2328.253
1143.549, 2317.409
1145.477, 2307.264
1147.406, 2322.574
1149.334, 2350.183
1151.263, 2352.786
1153.191, 2339.010
1155.120, 2318.604
1157.048, 2300.230
1158.977, 2294.246
1160.905, 2296.853
1162.834, 2313.213
1164.762, 2323.644
1166.691, 2306.230
1168.619, 2286.937
1170.547, 2279.324
1172.476, 2278.044
1174.404, 2286.770
1176.333, 2291.032
1178.261, 2282.136
1180.190, 2274.548
1182.118, 2274.321
1184.047, 2269.642
1185.975, 2254.702
1187.904, 2247.794
1189.832, 2252.300
1191.761, 2248.106
1193.689, 2233.205
1195.618, 2246.254
1197.546, 2282.137
1199.474, 2272.674
1201.403, 2233.482
1203.331, 2225.956
1205.260, 2233.919
1207.188, 2223.705
1209.117, 2213.035
1211.045, 2223.570
1212.974, 2237.260
1214.902, 2248.123
1216.831, 2249.872
1218.759, 2227.498
1220.688, 2207.375
1222.616, 2205.211
1224.545, 2207.669
1226.473, 2210.136
1228.401, 2207.521
1230.330, 2196.918
1232.258, 2196.717
1234.187, 2214.086
1236.115, 2219.283
1238.044, 2207.469
1239.972, 2185.260
1241.901, 2156.884
1243.829, 2162.411
1245.758, 2190.571
1247.686, 2194.467
1249.615, 2184.927
1251.543, 2187.818
1253.472, 2189.575
1255.400, 2174.155
1257.328, 2162.306
1259.257, 2161.447
1261.185, 2161.067
1263.114, 2165.944
1265.042, 2170.909
