##NAMES=Atorvastatin
##RRUFFID=XD120016
##IDEAL CHEMISTRY=
##LOCALITY=Synthetic; pill is from Vietnam
##OWNER=RRUFF
##SOURCE=David Blake
##DESCRIPTION=20 mg pills from D120014, sans coating. Atorvastatin is a drug commonly used to lower blood cholesterol levels, and also acts as an anti-inflammatory agent.
##STATUS=The identification of this mineral is not yet confirmed
##URL=https://www.rruff.net/odr/rruff_sample/XD120016
##DIFFRACTION SAMPLE DESCRIPTION=Powder, Co-radiation
##FILETYPE=Raman Processed
##RAMAN WAVELENGTH=532

717.1383, 8354.149
719.0668, 8373.900
720.9952, 8390.200
722.9237, 8404.002
724.8522, 8414.409
726.7806, 8426.984
728.7091, 8444.304
730.6376, 8464.509
732.5660, 8481.851
734.4945, 8493.920
736.4230, 8505.242
738.3514, 8515.365
740.2799, 8522.553
742.2084, 8535.764
744.1368, 8559.385
746.0653, 8581.366
747.9938, 8594.194
749.9222, 8600.425
751.8507, 8606.053
753.7792, 8609.842
755.7076, 8616.634
757.6361, 8629.013
759.5646, 8645.976
761.4930, 8661.452
763.4215, 8674.280
765.3500, 8687.160
767.2784, 8701.960
769.2069, 8717.066
771.1354, 8732.897
773.0638, 8748.109
774.9923, 8768.443
776.9208, 8794.958
778.8492, 8820.714
780.7777, 8837.610
782.7062, 8843.141
784.6346, 8843.437
786.5631, 8840.123
788.4916, 8837.719
790.4200, 8837.366
792.3485, 8839.204
794.2770, 8841.488
796.2054, 8847.821
798.1339, 8853.974
800.0624, 8863.593
801.9908, 8878.442
803.9193, 8899.552
805.8478, 8923.131
807.7762, 8950.270
809.7047, 8978.614
811.6332, 9008.326
813.5616, 9035.006
815.4901, 9055.684
817.4186, 9064.203
819.3470, 9071.557
821.2755, 9083.024
823.2040, 9097.047
825.1324, 9105.293
827.0609, 9106.516
828.9894, 9103.077
830.9178, 9090.618
832.8463, 9085.364
834.7748, 9097.004
836.7032, 9124.311
838.6317, 9157.614
840.5602, 9194.450
842.4886, 9236.551
844.4171, 9290.890
846.3456, 9349.507
848.2740, 9397.436
850.2025, 9431.485
852.1310, 9451.502
854.0594, 9452.375
855.9879, 9437.567
857.9164, 9414.685
859.8448, 9385.063
861.7733, 9359.162
863.7018, 9350.351
865.6302, 9354.337
867.5587, 9368.304
869.4872, 9393.723
871.4156, 9423.402
873.3441, 9452.694
875.2726, 9482.402
877.2010, 9505.304
879.1295, 9518.182
881.0580, 9519.189
882.9865, 9506.393
884.9149, 9486.354
886.8434, 9477.520
888.7719, 9480.729
890.7003, 9492.876
892.6288, 9516.456
894.5573, 9549.446
896.4857, 9573.283
898.4142, 9583.678
900.3427, 9590.662
902.2711, 9605.519
904.1996, 9627.673
906.1281, 9645.451
908.0565, 9654.875
909.9850, 9661.271
911.9135, 9675.206
913.8419, 9694.995
915.7704, 9704.337
917.6989, 9702.769
919.6273, 9694.806
921.5558, 9682.365
923.4843, 9661.529
925.4127, 9642.228
927.3412, 9634.540
929.2697, 9636.468
931.1981, 9642.896
933.1266, 9648.176
935.0551, 9659.933
936.9835, 9686.905
938.9120, 9722.363
940.8405, 9755.170
942.7689, 9780.431
944.6974, 9808.222
946.6259, 9843.703
948.5543, 9875.719
950.4828, 9896.962
952.4113, 9905.200
954.3397, 9909.484
956.2682, 9915.576
958.1967, 9914.786
960.1251, 9903.991
962.0536, 9887.580
963.9821, 9880.056
965.9105, 9883.858
967.8390, 9893.818
969.7675, 9904.230
971.6959, 9913.087
973.6244, 9919.569
975.5529, 9923.862
977.4813, 9924.994
979.4098, 9929.933
981.3383, 9942.237
983.2667, 9961.717
985.1952, 9985.152
987.1237, 10015.50
989.0521, 10052.61
990.9806, 10093.73
992.9091, 10137.11
994.8375, 10184.47
996.7660, 10233.30
998.6945, 10277.13
