##NAMES=Widenmannite
##RRUFFID=R080029
##IDEAL CHEMISTRY=Pb_2_(OH)_2_[(UO_2_)(CO_3_)_2_]
##LOCALITY=Pribram, Bohemia, Czechoslovakia
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Spherical aggregates of tan to colorless acicular crystals
##STATUS=The identification of this mineral is not yet confirmed
##URL=https://www.rruff.net/odr/rruff_sample/R080029
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=532

87.31934, 774.9713
89.24780, 931.8358
91.17627, 1122.120
93.10474, 1363.015
95.03320, 1655.200
96.96167, 1994.786
98.89014, 2408.136
100.8186, 2880.985
102.7471, 3426.944
104.6755, 4042.999
106.6040, 4729.623
108.5325, 5491.984
110.4609, 6336.821
112.3894, 7281.691
114.3179, 8237.224
116.2463, 9232.859
118.1748, 10229.70
120.1033, 11172.31
122.0317, 12066.88
123.9602, 12578.84
125.8887, 13359.43
127.8171, 13279.39
129.7456, 13223.00
131.6741, 13227.49
133.6025, 13281.16
135.5310, 13371.97
137.4595, 13507.38
139.3879, 13661.65
141.3164, 13822.06
143.2449, 13990.16
145.1733, 14155.15
147.1018, 14319.47
149.0303, 14479.30
150.9587, 14619.06
152.8872, 14726.43
154.8157, 14820.50
156.7441, 14916.59
158.6726, 15002.33
160.6011, 15104.04
162.5295, 15221.62
164.4580, 15355.51
166.3865, 15524.77
168.3149, 15737.58
170.2434, 15984.01
172.1719, 16261.03
174.1003, 16551.28
176.0288, 16880.98
177.9573, 17258.32
179.8857, 17678.15
181.8142, 18133.98
183.7427, 18636.00
185.6711, 19164.99
187.5996, 19697.75
189.5281, 20314.69
191.4565, 20827.19
193.3850, 21180.53
195.3135, 21317.91
197.2419, 21367.52
199.1704, 21301.88
201.0989, 21148.88
203.0273, 20982.27
204.9558, 20787.96
206.8843, 20592.66
208.8127, 20405.58
210.7412, 20215.54
212.6697, 20054.31
214.5981, 19934.14
216.5266, 19846.01
218.4551, 19775.14
220.3835, 19758.89
222.3120, 19732.06
224.2405, 19661.92
226.1689, 19558.58
228.0974, 19393.04
230.0259, 19120.97
231.9543, 18763.07
233.8828, 18449.42
235.8113, 18166.54
237.7397, 17933.44
239.6682, 17771.22
241.5967, 17692.29
243.5251, 17630.13
245.4536, 17570.07
247.3821, 17511.98
249.3105, 17455.54
251.2390, 17396.84
253.1675, 17339.95
255.0959, 17284.96
257.0244, 17228.29
258.9529, 17180.21
260.8813, 17135.22
262.8098, 17099.58
264.7383, 17094.14
266.6667, 17157.31
268.5952, 17220.41
270.5237, 17245.35
272.4521, 17206.10
274.3806, 17160.71
276.3091, 17104.01
278.2375, 17042.53
280.1660, 16993.22
282.0945, 16955.01
284.0229, 16930.19
285.9514, 16919.03
287.8799, 16918.29
289.8083, 16934.56
291.7368, 16969.77
293.6653, 17021.49
295.5938, 17085.92
297.5222, 17172.70
299.4507, 17263.77
301.3792, 17354.59
303.3076, 17447.53
305.2361, 17535.85
307.1646, 17620.33
309.0930, 17703.10
311.0215, 17784.66
312.9500, 17871.40
314.8784, 17957.36
316.8069, 18037.79
318.7354, 18112.53
320.6638, 18199.94
322.5923, 18302.30
324.5208, 18418.00
326.4492, 18549.13
328.3777, 18681.90
