##NAMES=Karibibite
##RRUFFID=R060307
##IDEAL CHEMISTRY=Fe^3+^_3_(As^3+^O_2_)_4_(As^3+^_2_O_5_)(OH)
##LOCALITY=Urucum, Municipio de Galilea, Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Yellowish-brown acicular crystals lining cavities
##STATUS=The identification of this mineral is not yet confirmed
##URL=https://www.rruff.net/odr/rruff_sample/R060307
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##FILETYPE=Raman Processed
##RAMAN WAVELENGTH=532

95.17188, 708.6022
97.10034, 730.0394
99.02881, 754.0247
100.9573, 792.6387
102.8857, 836.6338
104.8142, 886.1119
106.7427, 945.4521
108.6711, 1001.418
110.5996, 1056.378
112.5281, 1110.543
114.4565, 1149.820
116.3850, 1167.296
118.3135, 1178.658
120.2419, 1190.036
122.1704, 1199.827
124.0989, 1215.372
126.0273, 1236.911
127.9558, 1264.333
129.8843, 1298.254
131.8127, 1342.412
133.7412, 1390.052
135.6697, 1435.279
137.5981, 1474.752
139.5266, 1513.289
141.4551, 1554.933
143.3835, 1600.155
145.3120, 1633.840
147.2405, 1642.415
149.1689, 1638.877
151.0974, 1642.303
153.0259, 1650.220
154.9543, 1668.045
156.8828, 1700.541
158.8113, 1746.824
160.7397, 1804.144
162.6682, 1871.498
164.5967, 1948.644
166.5251, 2036.969
168.4536, 2133.977
170.3821, 2242.739
172.3105, 2370.302
174.2390, 2540.379
176.1675, 2673.828
178.0959, 2761.301
180.0244, 2797.534
181.9529, 2798.077
183.8813, 2729.481
185.8098, 2647.526
187.7383, 2588.715
189.6667, 2573.631
191.5952, 2563.901
193.5237, 2571.700
195.4521, 2589.310
197.3806, 2578.365
199.3091, 2509.829
201.2375, 2421.969
203.1660, 2341.964
205.0945, 2259.816
207.0229, 2198.720
208.9514, 2169.220
210.8799, 2168.598
212.8083, 2180.635
214.7368, 2211.727
216.6653, 2250.187
218.5938, 2286.185
220.5222, 2330.421
222.4507, 2353.110
224.3792, 2344.869
226.3076, 2298.708
228.2361, 2246.772
230.1646, 2180.726
232.0930, 2112.978
234.0215, 2055.775
235.9500, 2009.780
237.8784, 1974.883
239.8069, 1951.372
241.7354, 1942.372
243.6638, 1936.589
245.5923, 1936.744
247.5208, 1939.267
249.4492, 1940.123
251.3777, 1935.400
253.3062, 1933.009
255.2346, 1934.984
257.1631, 1941.613
259.0916, 1951.222
261.0200, 1963.174
262.9485, 1978.535
264.8770, 1999.245
266.8054, 2028.988
268.7339, 2060.714
270.6624, 2096.445
272.5908, 2135.798
274.5193, 2166.517
276.4478, 2184.696
278.3762, 2193.703
280.3047, 2195.335
282.2332, 2188.383
284.1616, 2176.335
286.0901, 2159.806
288.0186, 2139.471
289.9470, 2112.871
291.8755, 2073.906
293.8040, 2031.466
295.7324, 1995.224
297.6609, 1964.580
299.5894, 1939.385
301.5178, 1919.874
303.4463, 1905.680
305.3748, 1895.846
307.3032, 1889.631
309.2317, 1887.435
