##NAMES=Cuprorhodsite
##RRUFFID=R250124
##IDEAL CHEMISTRY=(Cu^1+^_0.5_Fe^3+^_0.5_)Rh^3+^_2_S_4_
##LOCALITY=Haraigawa, Misato machi, Kumamoto Prefecture, Japan
##OWNER=
##SOURCE=Daisuke Nishio-Hamane
##DESCRIPTION=Polished sections, associated with shiranuiite (R250123)
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=https://www.rruff.net/odr/rruff_sample/R250124
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=532



Wave,Intensity
50.626953,177.774429
52.599609,147.766449
54.572266,154.067749
56.542969,129.049591
58.515625,146.628372
60.486328,132.877258
62.455078,84.010239
64.425781,92.811485
66.394531,89.07193
68.363281,150.583084
70.332031,116.732101
72.300781,121.78434
74.267578,99.210831
76.234375,115.566536
78.201172,148.264938
80.166016,170.925751
82.132813,155.884293
84.097656,176.043808
86.060547,226.400421
88.025391,257.911377
89.988281,367.461121
91.951172,465.738464
93.912109,562.807251
95.875,607.031128
97.835938,773.470886
99.796875,991.658081
101.757813,1323.390869
103.716797,1710.764404
105.675781,2261.008301
107.634766,2679.093018
109.59375,3048.187012
111.550781,3571.432373
113.507813,4492.574707
115.464844,5452.066895
117.419922,6044.52832
119.376953,6451.589355
121.332031,7152.014648
123.287109,7898.29834
125.240234,8163.281738
127.195313,8128.694824
129.148438,8665.823242
131.099609,8880.592773
133.052734,8619.625977
135.003906,8533.212891
136.955078,8831.677734
138.90625,9283.540039
140.857422,9498.733398
142.806641,9795.132813
144.755859,10702.607422
146.705078,11291.054688
148.652344,10431.601563
150.599609,9387.783203
152.546875,8858.553711
154.494141,8718.665039
156.441406,8469.535156
158.386719,8279.954102
160.332031,8359.52832
162.277344,8232.068359
164.220703,8226.53125
166.164063,8297.250977
168.107422,8153.146973
170.050781,8111.974121
171.992188,8075.867188
173.935547,7981.213867
175.876953,7932.32666
177.816406,7832.495117
179.757813,8006.366211
181.697266,7895.037598
183.636719,7908.496094
185.576172,7855.699219
187.513672,7805.42334
189.451172,7850.737305
191.388672,7787.680664
193.326172,7973.318359
195.263672,7938.32666
197.199219,7853.54541
199.134766,7856.797852
201.068359,7911.123535
203.003906,7918.221191
204.9375,7773.304199
206.871094,7510.757813
208.804688,7323.48584
210.736328,7325.324219
212.669922,7338.670898
214.599609,7176.79248
216.53125,7218.25293
218.462891,7237.978027
220.392578,7284.592285
222.322266,7381.161621
224.251953,7352.273926
226.179688,7454.030762
228.107422,7453.33252
230.035156,7389.833984
231.962891,7581.408691
233.890625,7719.223145
235.816406,7900.713379
237.742188,7960.416504
239.667969,8072.760742
241.591797,8295.544922
243.515625,8463.232422
245.439453,8873.712891
247.363281,9401.287109
249.287109,9808.349609
251.208984,10207.901367
253.130859,10225.869141
255.052734,9742.387695
256.972656,9519.743164
258.894531,9497.668945
260.814453,9618.410156
262.734375,10108.597656
264.652344,10631.211914
266.572266,11356.253906
268.490234,12551.782227
270.408203,13698.945313
