##NAMES=Caryopilite
##RRUFFID=R070180
##IDEAL CHEMISTRY=Mn^2+^_3_Si_2_O_5_(OH)_4_
##LOCALITY=Gambatesa Mine, Graveglia Valley, Ne, Genova Province, Liguria, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Spherical aggregates of brown thin platelets
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=https://www.rruff.net/odr/rruff_sample/R070180
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=785

150.3887, 4609.703
152.3172, 4856.719
154.2456, 5090.704
156.1741, 5319.166
158.1026, 5546.034
160.0310, 5797.330
161.9595, 6087.218
163.8880, 6370.223
165.8164, 6648.464
167.7449, 6907.334
169.6734, 7132.951
171.6018, 7344.677
173.5303, 7563.382
175.4588, 7786.004
177.3872, 7983.462
179.3157, 8152.232
181.2442, 8330.242
183.1726, 8534.848
185.1011, 8736.370
187.0296, 8929.846
188.9580, 9107.896
190.8865, 9253.776
192.8150, 9371.229
194.7434, 9485.530
196.6719, 9599.636
198.6004, 9708.051
200.5288, 9807.377
202.4573, 9900.073
204.3858, 9996.428
206.3142, 10084.34
208.2427, 10132.61
210.1712, 10149.20
212.0996, 10182.81
214.0281, 10244.86
215.9566, 10303.58
217.8850, 10367.84
219.8135, 10414.87
221.7420, 10410.57
223.6704, 10389.60
225.5989, 10408.04
227.5274, 10466.00
229.4558, 10506.24
231.3843, 10508.23
233.3128, 10515.69
235.2412, 10539.96
237.1697, 10561.23
239.0982, 10563.52
241.0266, 10559.46
242.9551, 10565.96
244.8836, 10585.89
246.8120, 10594.06
248.7405, 10577.10
250.6690, 10571.28
252.5974, 10592.95
254.5259, 10609.39
256.4544, 10589.63
258.3828, 10564.90
260.3113, 10574.43
262.2398, 10613.42
264.1682, 10635.43
266.0967, 10641.48
268.0252, 10642.67
269.9536, 10633.63
271.8821, 10629.70
273.8106, 10645.97
275.7390, 10666.12
277.6675, 10669.48
279.5960, 10661.20
281.5244, 10668.83
283.4529, 10692.00
285.3814, 10701.48
287.3098, 10687.99
289.2383, 10676.15
291.1668, 10677.69
293.0952, 10677.41
295.0237, 10660.63
296.9522, 10640.54
298.8806, 10643.03
300.8091, 10662.30
302.7376, 10671.13
304.6660, 10663.24
306.5945, 10662.28
308.5230, 10685.84
310.4514, 10698.45
312.3799, 10678.63
314.3084, 10652.51
316.2368, 10647.39
318.1653, 10651.68
320.0938, 10642.97
322.0222, 10619.65
323.9507, 10602.29
325.8792, 10599.13
327.8076, 10589.46
329.7361, 10562.45
331.6646, 10539.40
333.5930, 10542.78
335.5215, 10548.26
337.4500, 10525.28
339.3784, 10480.28
341.3069, 10448.48
343.2354, 10436.58
345.1638, 10414.20
347.0923, 10369.14
349.0208, 10341.86
350.9492, 10357.38
352.8777, 10372.69
354.8062, 10360.49
356.7346, 10338.46
358.6631, 10330.08
360.5916, 10330.81
362.5201, 10305.89
364.4485, 10255.47
366.3770, 10242.22
368.3055, 10285.64
370.2339, 10309.87
372.1624, 10273.50
374.0909, 10237.77
376.0193, 10232.55
377.9478, 10237.05
379.8763, 10228.91
381.8047, 10210.09
383.7332, 10190.88
385.6617, 10174.43
387.5901, 10182.37
389.5186, 10231.08
391.4471, 10256.25
393.3755, 10229.45
395.3040, 10199.27
397.2325, 10182.83
399.1609, 10169.65
401.0894, 10147.73
403.0179, 10125.35
404.9464, 10110.97
406.8748, 10099.04
408.8033, 10088.67
410.7318, 10086.60
412.6602, 10084.46
414.5887, 10082.74
416.5172, 10065.48
418.4456, 10028.54
420.3741, 9983.170
422.3026, 9932.671
424.2310, 9877.419
426.1595, 9811.069
428.0880, 9745.712
430.0164, 9715.460
431.9449, 9720.156
433.8734, 9712.604
435.8018, 9699.994
437.7303, 9694.495
439.6588, 9692.319
441.5872, 9671.180
443.5157, 9613.524
445.4442, 9575.751
447.3726, 9593.188
449.3011, 9619.724
451.2296, 9612.927
453.1580, 9584.480
455.0865, 9542.420
457.0150, 9483.423
458.9434, 9442.684
460.8719, 9423.045
462.8004, 9407.617
464.7288, 9406.969
466.6573, 9413.868
468.5858, 9410.669
470.5142, 9387.000
472.4427, 9333.587
474.3712, 9280.288
476.2996, 9266.873
478.2281, 9279.959
480.1566, 9297.784
482.0850, 9329.000
484.0135, 9347.652
485.9420, 9329.264
487.8704, 9288.230
489.7989, 9244.581
491.7274, 9219.287
493.6558, 9201.882
495.5843, 9197.167
497.5128, 9226.013
499.4412, 9250.405
501.3697, 9213.754
503.2982, 9149.647
505.2266, 9124.391
507.1551, 9132.959
509.0836, 9125.439
511.0120, 9098.067
512.9405, 9081.826
514.8690, 9076.406
516.7974, 9070.936
518.7259, 9067.218
520.6544, 9045.781
522.5828, 9004.747
524.5113, 8958.479
526.4398, 8904.378
528.3682, 8870.495
530.2967, 8871.834
532.2252, 8873.366
534.1536, 8842.807
536.0821, 8793.769
538.0106, 8756.126
539.9390, 8734.189
541.8675, 8710.593
543.7960, 8669.967
545.7244, 8639.482
547.6529, 8637.388
549.5814, 8631.155
551.5098, 8623.843
553.4383, 8613.888
555.3668, 8572.384
557.2952, 8531.012
559.2237, 8524.001
561.1522, 8528.626
563.0806, 8515.053
565.0091, 8495.049
566.9376, 8484.522
568.8660, 8476.446
570.7945, 8470.329
572.7230, 8472.989
574.6514, 8478.219
576.5799, 8484.129
578.5084, 8480.583
580.4368, 8468.406
582.3653, 8471.049
584.2938, 8475.434
586.2222, 8458.467
588.1507, 8431.945
590.0792, 8430.201
592.0076, 8448.170
593.9361, 8460.672
595.8646, 8467.964
597.7930, 8477.957
599.7215, 8495.996
601.6500, 8519.285
603.5784, 8525.902
605.5069, 8511.668
607.4354, 8512.290
609.3638, 8521.191
611.2923, 8517.354
613.2208, 8519.731
615.1492, 8532.681
617.0777, 8539.837
619.0062, 8527.505
620.9346, 8489.401
622.8631, 8446.854
624.7916, 8423.928
626.7200, 8413.968
628.6485, 8413.091
630.5770, 8413.126
632.5054, 8405.953
634.4339, 8383.048
636.3624, 8343.063
638.2908, 8300.458
640.2193, 8264.217
642.1478, 8226.799
644.0762, 8202.274
646.0047, 8195.978
647.9332, 8179.121
649.8616, 8154.234
651.7901, 8116.432
653.7186, 8045.097
655.6470, 7992.548
657.5755, 7990.779
659.5040, 7989.015
661.4324, 7962.400
663.3609, 7923.338
665.2894, 7888.817
667.2178, 7849.152
669.1463, 7796.086
671.0748, 7755.905
673.0032, 7737.057
674.9317, 7718.740
676.8602, 7700.147
