##NAMES=Ilsemannite
##RRUFFID=R070513
##IDEAL CHEMISTRY=Mo_3_O_8_·nH_2_O (?)
##LOCALITY=Osamu Utsumi Mine, Poços de Caldas, Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pale blue vitreous coating
##STATUS=The identification of this mineral is not yet confirmed
##URL=https://www.rruff.net/odr/rruff_sample/R070513
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=785

131.7634, 15715.57
133.6919, 17872.10
135.6203, 20304.87
137.5488, 23071.75
139.4773, 26404.03
141.4057, 29908.30
143.3342, 33263.93
145.2627, 36415.45
147.1911, 39188.89
149.1196, 41519.56
151.0481, 43709.88
152.9765, 45738.92
154.9050, 47723.43
156.8335, 48932.11
158.7619, 48696.69
160.6904, 48672.73
162.6189, 48801.24
164.5473, 48862.41
166.4758, 48787.84
168.4043, 48704.85
170.3327, 48658.04
172.2612, 48597.61
174.1897, 48469.89
176.1181, 48320.87
178.0466, 48221.55
179.9751, 48171.32
181.9035, 48133.65
183.8320, 48083.01
185.7605, 48073.23
187.6889, 48139.54
189.6174, 48214.54
191.5459, 48287.57
193.4743, 48344.93
195.4028, 48301.25
197.3313, 48078.14
199.2598, 47923.99
201.1882, 47847.13
203.1167, 47807.63
205.0451, 47822.08
206.9736, 47818.92
208.9021, 47722.57
210.8305, 47574.44
212.7590, 47538.43
214.6875, 47638.27
216.6159, 47668.91
218.5444, 47605.65
220.4729, 47532.13
222.4013, 47456.05
224.3298, 47380.73
226.2583, 47313.30
228.1867, 47269.23
230.1152, 47264.00
232.0437, 47282.25
233.9721, 47298.22
235.9006, 47308.47
237.8291, 47296.52
239.7575, 47261.70
241.6860, 47224.80
243.6145, 47179.32
245.5429, 47111.72
247.4714, 47058.38
249.3999, 47056.29
251.3283, 47073.90
253.2568, 47130.50
255.1853, 47122.89
257.1137, 46964.85
259.0422, 46798.85
260.9707, 46727.46
262.8991, 46712.44
264.8276, 46688.90
266.7561, 46674.89
268.6845, 46644.25
270.6130, 46558.88
272.5415, 46495.52
274.4699, 46479.68
276.3984, 46462.07
278.3269, 46424.66
280.2553, 46376.43
282.1838, 46306.21
284.1123, 46220.57
286.0407, 46185.66
287.9692, 46224.16
289.8977, 46239.70
291.8261, 46215.51
293.7546, 46182.56
295.6831, 46145.54
297.6115, 46131.43
299.5400, 46142.04
301.4685, 46159.21
303.3969, 46185.07
305.3254, 46200.77
307.2539, 46210.43
309.1823, 46245.62
311.1108, 46277.00
313.0393, 46264.78
314.9677, 46253.30
316.8962, 46278.67
318.8247, 46339.32
320.7531, 46439.65
322.6816, 46564.55
324.6101, 46588.07
326.5385, 46495.32
328.4670, 46445.33
330.3955, 46485.03
332.3239, 46512.66
334.2524, 46523.43
336.1809, 46476.25
338.1093, 46305.87
340.0378, 46088.48
341.9663, 45942.99
343.8947, 45849.39
345.8232, 45714.74
347.7517, 45529.84
349.6801, 45395.32
351.6086, 45348.08
353.5371, 45305.61
355.4655, 45299.98
357.3940, 45253.20
359.3225, 45046.72
361.2509, 44815.16
363.1794, 44748.65
365.1079, 44806.40
