##NAMES=Clino-ferro-suenoite
##RRUFFID=R250076
##IDEAL CHEMISTRY=[box]Mn^2+^_2_Fe^2+^_5_(Si_8_O_22_)(OH)_2_
##LOCALITY=Hilläng mines, Dalarna, Sweden
##OWNER=GEO-NRM
##SOURCE=Dan Holtstam
##DESCRIPTION=Pale greenish-yellow subhedral crystals associated with fayalite, spessartine, ferro-actinolite, calcite, magnetite and pyrite.  Type sample, escribed by Holtstam et al (2025)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R250076
##MEASURED CHEMISTRY=[box](Mn^2+^_0.95_Fe^2+^_0.87_Ca_0.16_Na_0.01_)(Fe^2+^_3.57_Mg_1.38_Mn^2+^_0.03_Zn_0.01_Al_0.01_)Si_8.00_O_22_[(OH)_1.99_F_0.01_]
##DIFFRACTION SAMPLE DESCRIPTION=Powder, profile is calculated with Cu radiation
##CELL PARAMETERS=a: 9.606 b: 18.331 c: 5.3252 alpha: 90 beta: 102.335 gamma: 90 volume: 916.05 crystal system: monoclinic
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=515

X	Y
1790.74	430.77
1792.37	435.008
1793.99	422.165
1795.62	434.488
1797.24	443.343
1798.87	426.857
1800.49	433.177
1802.12	441.746
1803.74	442.977
1805.36	434.491
1806.98	436.788
1808.61	438.37
1810.23	441.259
1811.85	435.584
1813.47	424.887
1815.09	435.563
1816.71	428.23
1818.33	433.151
1819.95	416.056
1821.57	429.767
1823.19	436.89
1824.81	441.472
1826.43	435.861
1828.05	421.926
1829.67	425.134
1831.28	438.275
1832.9	439.515
1834.52	429.647
1836.13	446.585
1837.75	444.08
1839.37	431.115
1840.98	434.007
1842.6	441.335
1844.21	450.738
1845.83	432.11
1847.44	433.078
1849.06	435.096
1850.67	436.08
1852.29	437.553
1853.9	425.466
1855.51	430.484
1857.12	432.389
1858.74	433.369
1860.35	439.771
1861.96	431.209
1863.57	438.437
1865.18	436.981
1866.8	435.981
1868.41	427.222
1870.02	430.514
1871.63	439.061
1873.24	435.66
1874.84	428.237
1876.45	423.345
1878.06	428.209
1879.67	429.289
1881.28	428.081
1882.89	434.798
1884.49	431.195
1886.1	427.247
1887.71	436.343
1889.32	435.627
1890.92	428.027
1892.53	419.303
1894.13	425.207
1895.74	434.36
1897.34	434.593
1898.95	428.038
1900.55	434.283
1902.16	428.734
1903.76	429.431
1905.36	435.724
1906.97	444.901
1908.57	423.63
1910.17	426.996
1911.77	428.151
1913.37	420.912
1914.98	428.467
1916.58	432.876
1917.87	426
1919.48	433
1921.08	430.5
1922.69	433
1924.3	433
1925.91	427
1927.51	443.5
1929.12	428.5
1930.72	433.5
1932.33	431
1933.93	435
1935.54	424
1937.14	427
1938.75	426
1940.35	436.5
1941.95	432
1943.56	440.5
1945.16	425
1946.76	431
1948.36	441
1949.97	424
1951.57	434
1953.17	449.5
1954.77	442.5
1956.37	439.5
1957.97	435.5
1959.57	438
1961.17	446.5
1962.77	424
1964.37	435.5
1965.97	417.5
1967.57	436
1969.17	436
1970.76	450
1972.36	435
1973.96	428.5
1975.56	434
1977.15	454.5
1978.75	431.5
1980.34	436
1981.94	434.5
1983.54	416
1985.13	436.5
1986.73	451
1988.32	439.5
1989.92	438
1991.51	434.5
1993.1	413
1994.7	421
1996.29	441.5
1997.88	448.5
1999.48	444
2001.07	441
2002.66	436
2004.25	431
2005.84	425.5
2007.43	440
2009.02	443.5
2010.61	425.5
2012.2	451
2013.79	439.5
2015.38	452.5
2016.97	430.5
2018.56	434
2020.15	450
2021.74	430.5
2023.32	423
2024.91	443
2026.5	430
2028.09	433.5
2029.67	439.5
2031.26	435.5
2032.85	424.5
2034.43	453.5
2036.02	428
2037.6	435
2039.19	438.5
2040.77	441
2042.36	448.5
2043.94	438
2045.52	460
2047.11	429
2048.69	446
2050.27	426
2051.86	432
2053.44	448.5
2055.02	447
2056.6	456
2058.18	450
2059.76	449.5
2061.35	439
2062.93	438
2064.51	436
2066.08	466
2067.66	445
2069.24	434.5
2070.82	446.5
2072.4	446
2073.98	461.5
2075.56	432
2077.13	436
2078.71	441.5
2080.29	443.5
2081.87	457
2083.44	449.5
2085.02	458
2086.59	444
2088.17	441
2089.75	448
2091.32	426
2092.89	444
2094.47	443
2096.04	440
2097.62	440
2099.19	446
2100.77	441
2102.34	463.5
2103.91	449
2105.48	435
2107.05	438
2108.63	445
2110.2	441
2111.77	452
2113.34	439.5
2114.91	450
2116.48	461.5
2118.05	439.5
2119.62	455.5
2121.19	427.5
2122.76	454
2124.33	461.5
2125.89	449.5
2127.46	440.5
2129.03	445.5
2130.6	463.5
2132.17	431.5
2133.73	437
2135.3	444.5
2136.87	443.5
2138.43	441.5
2140	469.5
2141.56	449
2143.13	453.5
2144.69	446
2146.26	461
2147.82	454
2149.39	457.5
2150.95	439.5
2152.51	445
2154.08	457
2155.64	461
2157.2	461
2158.76	463.5
2160.33	456.5
2161.89	466.5
2163.45	436.5
2165.01	456.5
2166.57	449
2168.13	455.5
2169.69	434
2171.25	436
2172.81	462
2174.37	446
2175.93	459.5
2177.49	442
2179.05	478.5
2180.6	457.5
2182.16	459.5
2183.72	448.5
2185.28	436
2186.83	457
2188.39	468.5
2189.95	451.5
2191.5	462
2193.06	462.5
2194.61	449.5
2196.17	434
2197.72	457.5
2199.28	451.5
2200.83	444
2202.39	464.5
2203.94	441
2205.49	468.5
2207.04	444
2208.6	466
2210.15	460.5
2211.7	458.5
2213.26	452.5
2214.81	478
2216.36	455
2217.91	461
2219.46	451
2221.01	475.5
2222.56	471.5
2224.11	465
2225.66	463.5
2227.21	461
2228.76	453
2230.31	461.5
2231.85	465.5
2233.4	442
2234.95	465.5
2236.5	427
2238.05	432
2239.59	456
2241.14	455.5
2242.69	441
2244.23	451
2245.78	448.5
2247.32	462
2248.87	445.5
2250.41	453.5
2251.96	471.5
2253.5	459.5
2255.05	467
2256.59	464
2258.13	462.5
2259.68	452.5
2261.22	474
2262.76	443
2264.3	473
2265.85	472.5
2267.39	451
2268.93	464.5
2270.47	462
2272.01	438
2273.55	465.5
2275.09	457.5
2276.63	450.5
2278.17	441.5
2279.71	452.5
2281.25	468.5
2282.79	471
2284.33	457.5
2285.86	473
2287.4	451.5
2288.94	477.5
2290.48	462.5
2292.01	459
2293.55	454
2295.09	475.5
2296.62	472
2298.16	469
2299.7	466.5
2301.23	462
2302.77	459
2304.3	474
2305.84	465.5
2307.37	459
2308.9	461.5
2310.44	462.5
2311.97	467.5
2313.5	474.5
2315.04	475
2316.57	468
2318.1	466
2319.63	469
2321.16	483
2322.69	473
2324.23	468
2325.76	454
2327.29	501.5
2328.82	490
2330.35	552
2331.88	520.5
2333.41	475
2334.94	473
2336.46	469.5
2337.99	479
2339.52	460.5
2341.05	461
2342.58	470.5
2344.1	470
2345.63	471
2347.16	454.5
2348.68	457
2350.21	473
2351.73	454.5
2353.26	483
2354.79	479
2356.31	470.5
2357.84	473
2359.36	461.5
2360.88	477
2362.41	467
2363.93	460.5
2365.45	459
2366.98	474.75
2368.5	480.5
2370.02	474
2371.54	460
2373.07	470
2374.59	482
2376.11	487
2377.63	470
2379.15	449
2380.67	475
2382.19	481.5
2383.71	500
2385.23	485
2386.75	494.5
2388.27	470.5
2389.79	474
2391.31	459
2392.82	475.5
2394.34	451
2395.86	478.5
2397.38	486
2398.89	465
2400.41	466.5
2401.93	460
2403.44	476.5
2404.96	494.5
2406.47	473
2407.99	475
2409.5	479.5
2411.02	463
2412.54	489
2414.05	464
2415.56	475
2417.08	467.5
2418.59	476
2420.1	462
2421.62	486.5
2423.13	468
2424.64	463.5
2426.15	479.5
2427.66	495
2429.18	465
2430.69	473.5
2432.2	479
2433.71	465.5
2435.22	484
2436.73	475.5
2438.24	483
2439.75	465
2441.26	482
2442.76	485.5
2444.27	481.5
2445.78	452
2447.29	465
2448.8	476.5
2450.3	486
2451.81	475
2453.32	484
2454.82	476.5
2456.33	467
2457.84	487
2459.34	486
2460.85	500.5
2462.35	491
2463.86	501.5
2465.36	475
2466.87	485
2468.37	483
2469.88	478
2471.38	485
2472.88	497
2474.39	485.5
2475.89	474.5
2477.39	479.5
2478.89	476
2480.39	475.5
2481.89	486
2483.4	465
2484.9	495.5
2486.4	479
2487.9	491.5
2489.4	477
2490.9	486
2492.4	487
2493.9	483.5
2495.4	487.5
2496.9	479.5
2498.39	495
2499.89	493
2501.39	497.5
2502.89	474
2504.38	481
2505.88	490
2507.38	483.5
2508.87	488
2510.37	478
2511.87	487.5
2513.36	481
2514.86	481
2516.35	504.5
2517.85	496
2519.34	462
2520.84	481
2522.33	482.5
2523.82	482
2525.32	488.5
2526.81	484
2528.3	487
2529.8	489.5
2531.29	480.5
2532.78	486.5
2534.27	437
2535.76	479.5
2537.25	468
2538.75	492.5
2540.24	476
2541.73	486
2543.22	474
2544.71	487
2546.2	531
2547.69	501
2549.17	490
2550.66	477
2552.15	480.5
2553.64	489
2555.13	475.5
2556.62	486.5
2558.1	487
2559.59	506.5
2561.08	502.5
2562.56	471
2564.05	483
2565.53	497.5
2567.02	477
2568.51	482.5
2569.99	487.5
2571.48	498
2572.96	498
2574.45	514
2575.93	491
2577.41	480.5
2578.9	489.5
2580.38	503.5
2581.86	505.5
2583.34	491.5
2584.83	484
2586.31	498
2587.79	496
2589.27	493
2590.75	482
2592.24	487
2593.72	510.5
2595.2	493.5
2596.68	482.5
2598.16	504
2599.64	487
2601.12	485
2602.6	487
2604.07	492.5
2605.55	475
2607.03	497.5
2608.51	484
2609.99	497.5
2611.46	504
2612.94	508.5
2614.42	488.5
2615.89	478.5
2617.37	493
2618.85	497
2620.32	480.5
2621.8	486
2623.27	490.5
2624.75	493.5
2626.22	505.5
2627.7	512
2629.17	490.5
2630.65	500.5
2632.12	502
2633.59	496
2635.07	502
2636.54	479
2638.01	491
2639.48	497.5
2640.96	501
2642.43	495.5
2643.9	494.5
2645.37	474
2646.84	485
2648.31	476
2649.78	517.5
2651.25	486
2652.72	487.5
2654.19	492
2655.66	497.5
2657.13	491
2658.6	476
2660.07	496.5
2661.54	487
2663	475.5
2664.47	498
2665.94	489
2667.41	488.5
2668.87	488.5
2670.34	464
2671.8	501.5
2673.27	483.5
2674.74	511
2676.2	481.5
2677.67	486
2679.13	477
2680.6	486
2682.06	492
2683.53	491.5
2684.99	485.5
2686.45	499.5
2687.92	487
2689.38	495
2690.84	504
2692.3	507.5
2693.77	493.5
2695.23	508
2696.69	504
2698.15	514
2699.61	495
2701.07	481.5
2702.53	487
2704	500.5
2705.46	499.5
2706.92	503
2708.37	505.5
2709.83	514.5
2711.29	502
2712.75	503.5
2714.21	493.5
2715.67	503
2717.13	484
2718.58	495.5
2720.04	488
2721.5	484
2722.96	497.5
2724.41	477
2725.87	481
2727.33	487.5
2728.78	496
2730.24	484
2731.69	482
2733.15	500.5
2734.6	493
2736.06	480
2737.51	506
2738.96	489
2740.42	471
2741.87	485
2743.32	485.5
2744.78	489.5
2746.23	495.5
2747.68	481.5
2749.13	468
2750.59	500.5
2752.04	487.5
2753.49	471
2754.94	465.5
2756.39	482
2757.84	496
2759.29	480
2760.74	483
2762.19	488
2763.64	487.5
2765.09	492
2766.54	482.5
2767.99	480
2769.44	485.5
2770.88	486
2772.33	477
2773.78	478
2775.23	476
2776.67	480
2778.12	479
2779.57	491
2781.01	475
2782.46	480.5
2783.9	480.5
2785.35	452
2786.79	475.5
2788.24	464
2789.68	470
2791.13	477.5
2792.57	480
2794.02	459
2795.46	485.5
2796.9	476
2798.35	474
2799.79	470
2801.23	476
2802.67	501
2804.11	476
2805.56	465
2807	478.5
2808.44	492
2809.88	481
2811.32	476
2812.76	474.5
2814.2	471.5
2815.64	472.5
2817.08	477.5
2818.52	474.5
2819.96	456.5
2821.4	486
2822.84	461.5
2824.28	472
2825.71	467
2827.15	481
2828.59	493.5
2830.03	490.5
2831.46	501.5
2832.9	474
2834.34	482
2835.77	481.5
2837.21	492.5
2838.64	489
2840.08	495.5
2841.51	508
2842.95	515.5
2844.38	515
2845.82	515.5
2847.25	510
2848.69	531
