##NAMES=Nakauriite
##RRUFFID=R060842
##IDEAL CHEMISTRY=Cu_8_(SO_4_)_4_(CO_3_)(OH)_6_·48H_2_O
##LOCALITY=Gabbs, Nevada, USA
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Spray of blue fibers
##STATUS=The identification of this mineral is not yet confirmed
##URL=https://www.rruff.net/odr/rruff_sample/R060842
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=532

134.2600, 1714.609
136.1885, 1799.797
138.1169, 1883.592
140.0454, 1985.836
141.9739, 2078.147
143.9023, 2135.228
145.8308, 2132.813
147.7593, 2112.873
149.6877, 2078.598
151.6162, 2024.312
153.5447, 1982.977
155.4731, 1960.520
157.4016, 1954.235
159.3301, 1966.098
161.2585, 1997.714
163.1870, 2044.930
165.1155, 2111.126
167.0439, 2202.813
168.9724, 2291.325
170.9009, 2376.063
172.8293, 2458.817
174.7578, 2512.636
176.6863, 2530.076
178.6147, 2521.190
180.5432, 2499.538
182.4717, 2457.475
184.4001, 2409.863
186.3286, 2361.902
188.2571, 2314.893
190.1855, 2262.528
192.1140, 2196.598
194.0425, 2126.884
195.9709, 2069.083
197.8994, 2036.402
199.8279, 2007.511
201.7563, 1973.151
203.6848, 1930.967
205.6133, 1893.163
207.5417, 1865.859
209.4702, 1846.602
211.3987, 1820.825
213.3272, 1782.340
215.2556, 1741.317
217.1841, 1704.347
219.1126, 1671.673
221.0410, 1641.885
222.9695, 1615.532
224.8980, 1593.119
226.8264, 1569.781
228.7549, 1542.981
230.6834, 1517.200
232.6118, 1495.264
234.5403, 1475.732
236.4688, 1463.203
238.3972, 1460.662
240.3257, 1471.448
242.2542, 1477.916
244.1826, 1470.281
246.1111, 1461.301
248.0396, 1465.060
249.9680, 1499.139
251.8965, 1529.725
253.8250, 1542.913
255.7534, 1534.370
257.6819, 1537.107
259.6104, 1561.889
261.5388, 1600.162
263.4673, 1638.568
265.3958, 1676.517
267.3242, 1715.520
269.2527, 1761.136
271.1812, 1816.024
273.1096, 1855.288
275.0381, 1865.731
