##NAMES=Fluorsigaiite
##RRUFFID=R250047
##IDEAL CHEMISTRY=Ca_2_Sr_3_(PO_4_)_3_F
##LOCALITY=Saima alkaline complex, Liaoning Province, China
##OWNER=Geological Museum of China
##SOURCE=Bin Wu
##DESCRIPTION=Individual prismatic, columnar and platy translucent to transparent, colourless crystals associated with microcline, nepheline, aegirine, natrolite, eudialyte, fluorapatite, stronadelphite and calcite. Type sample described in Wu et al (2022)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R250047
##MEASURED CHEMISTRY=(Sr_2.82_Ca_1.79_Na_0.16_La_0.15_Ce_0.09_Pr_0.01_Nd_0.01_Gd_0.01_)P_2.97_O_12_[F_0.66_(OH)_0.34_] ; Calculated on the basis of 13 total anions per formula unit and F+(OH) = 1
##DIFFRACTION SAMPLE DESCRIPTION=Powder, profile is calculated
##CELL PARAMETERS=a: 9.6005 b: 9.6005 c: 7.1119 alpha: 90 beta: 90 gamma: 120 volume: 567.67 crystal system: hexagonal
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=532

X,Y
541.536,512.38
543.102,514.072
544.668,517.362
546.233,495.099
547.799,482.412
549.364,503.272
550.929,517.747
552.493,471.494
554.057,521.137
555.621,492.455
557.185,535.724
558.748,540.622
560.311,519.926
561.874,560.025
563.436,563.33
564.998,558.633
566.56,589.155
568.122,622.891
569.683,632.616
571.244,661.568
572.805,674.508
574.365,725.912
575.925,865.487
577.485,892.9
579.044,949.183
580.604,987.847
582.163,1053.79
583.721,1185.54
585.28,1288.45
586.838,1396.21
588.396,1390.05
589.953,1253.85
591.51,1111.17
593.067,989.318
594.624,936.493
596.18,925.421
597.736,954.518
599.292,1065.59
600.847,1072.22
602.403,1024.19
603.957,879.645
605.512,817.08
607.066,807.58
608.62,720.843
610.174,700.055
611.728,676.041
613.281,677.777
614.834,636.037
616.386,607.165
617.939,620.165
619.491,551.002
621.042,518.876
622.594,514.137
624.145,540.025
625.696,485.306
627.246,496.685
628.797,495.164
630.347,566.237
631.896,517.937
633.446,542.24
634.995,503.602
636.544,527.912
638.092,524.78
639.64,534.568
641.188,534.667
642.736,562.232
644.283,589.806
645.831,557.591
647.377,591.642
648.924,533.546
650.47,564.37
652.016,524.04
653.562,562.962
655.107,587.336
656.652,600.392
658.197,577.842
659.742,600.614
661.286,569.961
662.83,589.5
664.374,607.427
665.917,583.238
667.46,606.032
669.003,560.764
670.546,567.352
672.088,578.807
673.63,561.076
675.171,559.558
676.713,541.817
678.254,567.878
679.795,529.036
681.335,571.334
682.876,574.687
684.416,566.675
685.955,557.036
687.495,566.885
689.034,563.74
690.573,534.596
692.111,536.32
693.649,525.041
695.187,531.641
696.725,536.618
698.262,556.234
699.8,546.577
701.336,556.44
702.873,571.189
704.409,558.274
705.945,533.958
707.481,516.146
709.016,591.154
710.551,579.861
712.086,521.32
713.621,567.04
715.155,568.775
716.689,549.32
718.223,549.421
719.756,552.784
721.289,518.637
722.822,574.194
724.355,536.775
725.887,536.874
727.419,551.663
728.951,538.705
730.482,571.459
732.014,571.565
733.544,574.937
735.075,540.737
736.605,586.587
738.135,560.548
739.665,583.535
741.195,549.311
742.724,565.763
744.253,570.774
745.781,580.694
747.31,564.441
748.838,564.545
750.366,561.376
751.893,530.377
753.42,564.857
754.947,597.713
756.474,556.876
758,565.17
759.526,560.359
761.052,558.823
762.578,563.844
764.103,547.554
765.628,541.096
767.153,600.235
768.677,551.137
770.201,569.285
771.725,551.341
773.248,580.984
774.772,582.732
776.295,582.84
777.817,612.505
779.34,556.776
780.862,599.589
782.384,586.555
783.905,608.027
785.427,596.633
786.948,595.099
788.469,605.074
789.989,590.385
791.509,590.494
793.029,585.667
794.549,577.548
796.068,612.214
797.587,622.203
799.106,597.623
800.625,601.026
802.143,625.841
803.661,625.956
805.178,603.005
806.696,654.2
808.213,627.95
809.73,578.611
811.246,610.044
812.763,634.893
814.279,623.464
815.794,666.47
817.31,668.243
818.825,632.059
820.34,645.38
821.854,645.499
823.369,686.898
824.883,693.63
826.397,692.106
827.91,637.713
829.423,690.708
830.936,694.14
832.449,705.839
833.961,697.702
835.473,702.791
836.985,656.61
838.497,696.432
840.008,721.378
841.519,714.891
843.03,708.402
844.54,739.986
846.05,720.253
847.56,725.353
849.07,776.833
850.579,763.723
852.088,782.09
853.597,730.858
855.106,755.855
856.614,770.915
858.122,757.791
859.629,729.736
861.137,734.846
862.644,738.299
864.151,768.304
865.657,758.487
867.164,793.486
868.67,700.654
870.175,770.529
871.681,782.296
873.186,759.183
874.691,731.076
876.196,786.051
877.7,771.235
879.204,768.052
880.708,776.506
882.211,789.953
883.715,775.128
885.218,803.552
886.72,787.06
888.223,780.547
889.725,799
891.227,810.801
892.728,800.958
894.23,799.44
895.731,806.249
897.231,819.726
898.732,756.552
900.232,868.361
901.732,820.176
903.232,776.976
904.731,825.48
906.23,848.982
907.729,819.109
909.228,844.287
910.726,874.481
912.224,882.987
913.722,874.801
915.219,928.394
916.717,893.493
918.214,937.086
919.71,925.563
921.207,893.983
922.703,929.244
924.199,987.92
925.694,968.038
927.189,978.249
928.684,980.1
930.179,997.008
931.674,1095.9
933.168,1049.25
934.662,1141.5
936.155,1245.5
937.649,1290.93
939.142,1386.62
940.635,1507.48
942.127,1663.55
943.62,1975.52
945.112,2324.46
946.603,2785.84
948.095,3413.36
949.586,4235.62
951.077,5408.7
952.568,6456.4
954.058,7705.81
955.548,8918.76
957.038,9712.57
958.527,9815.06
960.017,9356.82
961.506,8141.07
962.995,6990.37
964.483,5281.53
965.971,4166.85
967.459,3233.26
968.947,2494.3
970.434,2146.77
971.921,1768.84
973.408,1589.22
974.895,1451.59
976.381,1376.15
977.867,1373.03
979.353,1211.72
980.838,1341.55
982.324,1304.76
983.809,1355.51
985.293,1338.92
986.778,1386.33
988.262,1401.74
989.746,1481.2
991.229,1506.75
992.713,1429.48
994.196,1419.63
995.678,1485.65
997.161,1426.89
998.643,1476.07
1000.13,1415.6
1001.61,1329.79
1003.09,1350.29
1004.57,1365.73
1006.05,1340.65
1007.53,1351.03
1009.01,1319.18
1010.49,1273.81
1011.97,1324.73
1013.45,1331.73
1014.93,1340.43
1016.41,1388.01
1017.89,1327.39
1019.37,1373.29
1020.84,1429.36
1022.32,1426.24
1023.8,1467.11
1025.28,1445.38
1026.75,1474.42
1028.23,1457.75
1029.71,1486.81
1031.18,1498.93
1032.66,1572.05
1034.14,1574.03
1035.61,1601.43
1037.09,1576.3
1038.56,1585.06
1040.04,1581.96
1041.51,1600.9
1042.99,1594.41
1044.46,1625.23
1045.93,1652.68
1047.41,1620.73
1048.88,1619.33
1050.35,1643.39
1051.82,1708.22
1053.3,1694.94
1054.77,1688.45
1056.24,1705.75
1057.71,1600.71
1059.18,1653.68
1060.65,1669.28
1062.13,1701.89
1063.6,1731.11
1065.07,1739.93
1066.54,1731.74
1068.01,1696.32
1069.47,1671.1
1070.94,1586.3
1072.41,1586.59
1073.88,1626.04
1075.35,1490.1
1076.82,1544.87
1078.29,1461.68
1079.75,1415.94
1081.22,1390.63
1082.69,1349.98
1084.15,1312.72
1085.62,1319.78
1087.09,1275.67
1088.55,1287.84
1090.02,1255.66
1091.48,1194.46
1092.95,1249.29
1094.41,1208.55
1095.88,1220.72
1097.34,1195.33
1098.81,1226.29
1100.27,1202.6
1101.73,1143.01
1103.2,1209.87
1104.66,1136.59
1106.12,1164.15
1107.58,1130.17
1109.05,1209.03
1110.51,1178.47
1111.97,1235.13
1113.43,1122.43
1114.89,1143.17
1116.35,1196.44
1117.81,1150.43
1119.27,1109.55
1120.73,1173.11
1122.19,1116.8
1123.65,1105.01
1125.11,1093.21
1126.57,1189.39
1128.03,1105.61
1129.49,1068.09
1130.95,1080.29
1132.41,1073.62
1133.86,1130.43
1135.32,1125.48
1136.78,1113.67
1138.23,1040.08
1139.69,1055.71
1141.15,1093.68
1142.6,1116.2
1144.06,1118.12
1145.51,1083.96
1146.97,1063.54
1148.43,1113.57
1149.88,1096.58
1151.33,1089.91
1152.79,1103.86
1154.24,1092.02
1155.7,1054.38
1157.15,1083.81
1158.6,1010.02
1160.06,1082.48
1161.51,1058.58
1162.96,1041.56
1164.41,1029.69
1165.87,1097.04
1167.32,1038.68
1168.77,1056.09
1170.22,1045.95
1171.67,1025.45
1173.12,1037.7
1174.57,1022.38
1176.02,1019.11
1177.47,1060.69
1178.92,1060.88
1180.37,1028.29
1181.82,1014.67
1183.27,1083.89
1184.72,1070.28
1186.16,1034.21
1187.61,1055.12
1189.06,1050.13
1190.51,1026.14
1191.95,1079.88
1193.4,1045.52
1194.85,981.752
1196.29,1045.89
1197.74,999.397
1199.19,1032.44
1200.63,1055.11
1202.08,1039.73
1203.52,1067.6
1204.97,984.724
1206.41,1073.18
1207.86,1009.32
1209.3,1032.01
1210.74,1009.68
1212.19,1046.24
1213.63,1015.24
1215.07,1001.56
1216.52,960.148
1217.96,1014.06
1219.4,1029.84
1220.84,993.615
1222.28,1007.67
1223.73,1007.85
1225.17,1030.59
1226.61,1018.63
1228.05,991.039
1229.49,1008.58
1230.93,987.924
1232.37,1043.67
1233.81,996.964
1235.25,1011.04
1236.69,1004.27
1238.13,1002.72
1239.57,1009.85
1241,1029.15
1242.44,1008.47
1243.88,977.353
1245.32,1021.01
1246.75,960.308
1248.19,993.541
1249.63,1058.11
1251.06,1040.9
1252.5,1048.05
1253.94,1062.17
1255.37,1015.33
1256.81,977.196
1258.24,1024.41
1259.68,1050.73
1261.11,1010.84
1262.55,1091.2
1263.98,998.997
1265.42,993.945
1266.85,1011.56
1268.28,1048.38
1269.72,1055.55
1271.15,1062.72
1272.58,1019.27
1274.01,1059.61
1275.45,1092.97
1276.88,1115.87
1278.31,1061.92
1279.74,1091.81
1281.17,1030.86
1282.6,1064.24
1284.03,1132.6
1285.46,1097.84
1286.89,1042.09
1288.32,1099.99
1289.75,1061.7
1291.18,1049.65
1292.61,1039.34
1294.04,1060.53
1295.47,1097.47
1296.9,1127.43
1298.33,1094.37
1299.75,1120.83
1301.18,1101.77
1302.61,1135.25
1304.03,1193.28
1305.46,1140.91
1306.89,1165.66
1308.31,1115.03
1309.74,1171.34
1311.17,1210.13
1312.59,1208.6
1314.02,1240.39
1315.44,1196.75
1316.87,1237.33
1318.29,1221.75
1319.71,1258.84
1321.14,1174.78
1322.56,1157.42
