##NAMES=Calcurmolite
##RRUFFID=R070028
##IDEAL CHEMISTRY=(Ca_1-x_Na_x_)_2_(UO_2_)_3_(MoO_4_)_2_(OH)_6-x_·nH_2_O
##LOCALITY=Gornoe, Transbaikal region, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Lemon-yellow massive
##STATUS=The identification of this mineral is not yet confirmed
##URL=https://www.rruff.net/odr/rruff_sample/R070028
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=532

242.5002, 18842.73
244.4287, 18838.79
246.3571, 18857.90
248.2856, 18898.04
250.2141, 18941.54
252.1425, 18986.23
254.0710, 19034.68
255.9995, 19079.91
257.9279, 19133.38
259.8564, 19174.33
261.7849, 19190.84
263.7133, 19180.87
265.6418, 19163.51
267.5703, 19129.30
269.4987, 19091.85
271.4272, 19082.86
273.3557, 19118.86
275.2841, 19158.30
277.2126, 19185.08
279.1411, 19199.71
281.0695, 19208.64
282.9980, 19215.03
284.9265, 19213.48
286.8549, 19200.91
288.7834, 19170.41
290.7119, 19144.55
292.6404, 19129.32
294.5688, 19125.18
296.4973, 19125.13
298.4258, 19121.78
300.3542, 19127.68
302.2827, 19154.42
304.2111, 19222.99
306.1396, 19269.67
308.0681, 19271.67
309.9965, 19234.90
311.9250, 19211.19
313.8535, 19207.90
315.7819, 19210.67
317.7104, 19209.53
319.6389, 19191.66
321.5673, 19195.38
323.4958, 19249.25
325.4243, 19321.42
327.3527, 19352.02
329.2812, 19309.23
331.2097, 19263.86
333.1381, 19242.90
335.0666, 19254.26
336.9951, 19266.52
338.9235, 19276.80
340.8520, 19289.98
342.7805, 19309.09
344.7089, 19335.05
346.6374, 19366.27
348.5659, 19409.16
350.4943, 19460.34
352.4228, 19495.40
354.3513, 19504.07
356.2797, 19507.39
358.2082, 19515.94
360.1367, 19538.36
362.0651, 19547.06
363.9936, 19533.51
365.9221, 19512.54
367.8505, 19502.22
369.7790, 19511.68
371.7075, 19519.56
373.6359, 19516.88
375.5644, 19501.56
377.4929, 19489.12
379.4213, 19483.64
381.3498, 19475.64
383.2783, 19464.17
385.2067, 19447.97
387.1352, 19435.40
389.0637, 19427.75
390.9921, 19419.03
392.9206, 19406.22
394.8491, 19387.97
396.7775, 19368.75
398.7060, 19348.60
400.6345, 19325.52
402.5629, 19307.47
404.4914, 19297.38
406.4199, 19292.16
408.3483, 19285.28
410.2768, 19273.90
412.2053, 19261.15
414.1337, 19256.85
416.0622, 19264.90
417.9907, 19256.13
419.9191, 19194.13
421.8476, 19134.34
423.7761, 19131.22
425.7045, 19197.36
427.6330, 19239.97
429.5615, 19220.83
431.4899, 19176.56
433.4184, 19155.98
435.3469, 19168.65
437.2753, 19173.15
439.2038, 19154.32
441.1323, 19120.89
443.0607, 19105.84
444.9892, 19117.13
446.9177, 19133.68
448.8461, 19157.17
450.7746, 19191.47
452.7031, 19219.01
454.6315, 19219.69
456.5600, 19211.03
458.4885, 19206.66
460.4169, 19210.88
462.3454, 19205.29
464.2739, 19197.79
466.2023, 19201.53
468.1308, 19220.91
470.0593, 19267.85
471.9877, 19306.03
473.9162, 19313.94
475.8447, 19283.10
477.7731, 19270.60
479.7016, 19299.66
481.6301, 19339.24
483.5585, 19366.56
485.4870, 19378.80
487.4155, 19371.02
489.3439, 19333.92
491.2724, 19308.41
493.2009, 19330.04
495.1293, 19409.01
497.0578, 19446.17
498.9863, 19430.00
500.9147, 19365.82
502.8432, 19317.68
504.7717, 19289.56
506.7001, 19278.94
508.6286, 19283.23
510.5571, 19298.21
512.4855, 19300.66
514.4140, 19287.76
516.3425, 19278.99
518.2709, 19276.69
520.1994, 19267.83
522.1279, 19258.51
524.0563, 19265.59
525.9848, 19275.87
527.9133, 19273.12
529.8417, 19269.55
531.7702, 19275.72
533.6987, 19254.88
535.6271, 19196.01
537.5556, 19151.94
539.4841, 19170.99
541.4125, 19211.17
543.3410, 19239.85
545.2695, 19247.71
547.1979, 19228.68
549.1264, 19178.87
551.0549, 19133.52
552.9833, 19119.06
554.9118, 19124.94
556.8403, 19118.03
558.7687, 19114.55
560.6972, 19115.46
562.6257, 19113.28
564.5541, 19070.94
566.4826, 19041.70
568.4111, 19040.70
570.3395, 19058.17
572.2680, 19067.68
574.1965, 19068.45
576.1249, 19064.15
578.0534, 19060.46
579.9819, 19063.00
581.9103, 19066.55
583.8388, 19045.29
585.7673, 19016.35
587.6957, 18995.30
589.6242, 18996.10
591.5527, 19017.90
593.4811, 19055.79
595.4096, 19082.45
597.3381, 19070.26
599.2665, 19031.66
601.1950, 19015.75
603.1235, 19022.81
605.0519, 19028.41
606.9804, 19014.62
608.9089, 19003.04
610.8373, 19007.93
612.7658, 19024.54
614.6943, 19037.26
616.6227, 19042.69
618.5512, 19055.84
620.4797, 19081.36
622.4081, 19119.06
624.3366, 19154.44
626.2651, 19175.53
628.1935, 19184.05
630.1220, 19189.09
632.0505, 19192.20
633.9789, 19198.96
635.9074, 19203.50
637.8359, 19194.31
639.7643, 19191.05
641.6928, 19206.29
643.6213, 19248.66
645.5497, 19293.39
647.4782, 19339.47
649.4067, 19364.97
651.3351, 19339.34
653.2636, 19300.09
655.1921, 19295.69
657.1205, 19351.06
659.0490, 19413.02
660.9775, 19449.36
662.9059, 19426.41
664.8344, 19413.24
666.7629, 19422.66
668.6913, 19451.55
670.6198, 19478.68
672.5483, 19496.92
674.4767, 19504.14
676.4052, 19495.74
678.3337, 19485.53
680.2621, 19494.04
682.1906, 19517.90
684.1191, 19531.89
686.0475, 19521.71
687.9760, 19507.38
689.9045, 19500.46
691.8329, 19512.61
693.7614, 19534.49
695.6899, 19573.77
697.6183, 19606.90
699.5468, 19612.28
701.4753, 19575.32
703.4037, 19537.35
705.3322, 19507.77
707.2607, 19498.98
709.1891, 19498.04
711.1176, 19500.17
713.0461, 19504.63
714.9745, 19524.07
716.9030, 19548.38
718.8315, 19552.58
720.7599, 19522.33
722.6884, 19495.41
724.6169, 19487.53
726.5453, 19503.76
728.4738, 19511.99
730.4023, 19502.05
732.3307, 19486.22
734.2592, 19475.50
736.1877, 19469.08
738.1161, 19461.37
740.0446, 19442.37
741.9731, 19436.89
743.9016, 19460.79
745.8300, 19519.75
747.7585, 19556.21
749.6870, 19542.87
751.6154, 19529.11
753.5439, 19550.63
755.4724, 19607.97
757.4008, 19662.21
759.3293, 19709.92
761.2578, 19750.96
763.1862, 19783.11
765.1147, 19803.33
767.0432, 19835.77
768.9716, 19877.38
770.9001, 19931.31
772.8286, 20008.18
774.7570, 20108.66
776.6855, 20205.93
778.6140, 20301.85
780.5424, 20386.62
782.4709, 20453.68
784.3994, 20496.50
786.3278, 20539.40
788.2563, 20581.82
790.1848, 20624.43
792.1132, 20668.76
794.0417, 20717.91
795.9702, 20766.92
797.8986, 20815.73
799.8271, 20860.30
801.7556, 20907.46
803.6840, 20973.06
805.6125, 20986.38
807.5410, 20914.23
809.4694, 20817.86
811.3979, 20749.81
813.3264, 20716.25
815.2548, 20658.74
817.1833, 20541.59
819.1118, 20417.03
821.0402, 20329.29
822.9687, 20296.33
824.8972, 20237.59
826.8256, 20124.51
828.7541, 19997.29
830.6826, 19899.96
832.6110, 19837.63
834.5395, 19758.55
836.4680, 19627.50
838.3964, 19509.11
840.3249, 19454.21
842.2534, 19473.89
844.1818, 19458.69
846.1103, 19364.62
848.0388, 19258.71
849.9672, 19187.10
851.8957, 19148.57
853.8242, 19129.74
855.7526, 19146.99
857.6811, 19170.17
859.6096, 19167.80
861.5380, 19145.78
863.4665, 19120.11
865.3950, 19077.14
867.3234, 19028.45
869.2519, 19013.24
871.1804, 19060.41
873.1088, 19091.78
875.0373, 19088.09
876.9658, 19072.43
878.8942, 19081.43
880.8227, 19099.33
882.7512, 19099.69
884.6796, 19069.72
886.6081, 19043.37
888.5366, 19018.90
890.4650, 18986.08
892.3935, 18954.40
894.3220, 18927.40
896.2504, 18904.97
898.1789, 18882.01
900.1074, 18869.50
902.0358, 18853.30
903.9643, 18819.34
905.8928, 18781.85
907.8212, 18767.00
909.7497, 18785.05
911.6782, 18801.55
913.6066, 18801.51
915.5351, 18794.52
917.4636, 18798.41
919.3920, 18813.34
921.3205, 18816.93
923.2490, 18809.60
925.1774, 18795.48
927.1059, 18768.55
929.0344, 18735.02
930.9628, 18708.69
932.8913, 18686.82
934.8198, 18668.93
936.7482, 18661.78
938.6767, 18672.67
940.6052, 18668.98
942.5336, 18641.73
944.4621, 18616.13
