##NAMES=Cyanotrichite
##RRUFFID=R070500
##IDEAL CHEMISTRY=Cu_4_Al_2_(SO_4_)(OH)_12_(H_2_O)_2_
##LOCALITY=Vieja mine, Portrerillos, Chanaral Province, Atacama Region, Chile
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Radial aggregates of sky-blue fibers associated with green brochantite
##STATUS=The identification of this mineral is not yet confirmed
##URL=https://www.rruff.net/odr/rruff_sample/R070500
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=532

149.3945, 358.8325
151.3230, 364.0551
153.2514, 370.5477
155.1799, 374.0555
157.1084, 374.1653
159.0368, 372.8725
160.9653, 370.3416
162.8938, 364.6723
164.8223, 363.1564
166.7507, 368.7675
168.6792, 382.5146
170.6077, 392.2566
172.5361, 396.0184
174.4646, 396.9269
176.3931, 398.1405
178.3215, 399.0576
180.2500, 400.8748
182.1785, 403.8134
184.1069, 407.9713
186.0354, 413.0619
187.9639, 421.8573
189.8923, 431.2055
191.8208, 435.8984
193.7493, 429.4972
195.6777, 423.1918
197.6062, 421.8930
199.5347, 426.3840
201.4631, 431.2745
203.3916, 436.3474
205.3201, 441.3524
207.2485, 444.1949
209.1770, 442.7434
211.1055, 440.7314
213.0339, 440.6612
214.9624, 443.1094
216.8909, 445.0693
218.8193, 444.8724
220.7478, 442.4578
222.6763, 442.6523
224.6047, 447.9612
226.5332, 454.2963
228.4617, 458.5102
230.3901, 459.1336
232.3186, 460.3224
234.2471, 463.7388
236.1755, 469.8396
238.1040, 474.2052
240.0325, 476.1782
241.9609, 476.4573
243.8894, 475.7569
245.8179, 471.8706
247.7463, 469.0861
249.6748, 468.9706
251.6033, 471.6538
253.5317, 473.6334
255.4602, 474.1263
257.3886, 473.9021
259.3171, 473.8159
261.2456, 473.8952
263.1740, 474.2302
265.1025, 475.1194
267.0310, 476.5383
268.9594, 477.4799
270.8879, 475.6927
272.8164, 473.4962
274.7448, 474.7830
276.6733, 485.2784
278.6018, 493.4198
280.5302, 494.0101
282.4587, 487.1537
284.3872, 481.3461
286.3156, 478.5810
288.2441, 477.7075
290.1726, 476.9144
292.1010, 476.5002
294.0295, 476.0629
295.9580, 475.0387
297.8864, 473.0486
299.8149, 472.9712
301.7434, 477.0113
303.6718, 482.4783
305.6003, 484.5596
307.5288, 481.1573
309.4572, 477.7781
311.3857, 476.9158
313.3142, 479.6645
315.2426, 480.5915
317.1711, 476.4215
319.0996, 471.3972
321.0280, 471.9742
322.9565, 482.0418
324.8850, 490.8926
326.8134, 494.3931
328.7419, 490.0876
330.6704, 488.3299
332.5988, 492.5007
334.5273, 497.6010
336.4558, 497.4680
338.3842, 487.5063
340.3127, 480.8021
342.2412, 483.0995
344.1696, 496.9384
346.0981, 504.4599
348.0266, 501.0241
349.9550, 493.9944
351.8835, 489.6779
353.8120, 489.1993
355.7404, 489.5377
357.6689, 489.3123
359.5974, 488.5994
361.5258, 490.3607
363.4543, 498.1589
365.3828, 505.8757
367.3112, 509.6859
369.2397, 507.2038
371.1682, 505.1725
373.0966, 505.3478
375.0251, 507.1780
376.9536, 507.4456
378.8820, 503.6329
380.8105, 500.7896
382.7390, 501.9870
384.6674, 510.6622
386.5959, 515.3555
388.5244, 512.2316
390.4529, 504.7368
392.3813, 500.9127
394.3098, 502.0593
396.2383, 505.2790
398.1667, 509.6638
400.0952, 516.1983
402.0237, 521.3688
403.9521, 525.5188
405.8806, 528.3206
407.8091, 528.8859
409.7375, 524.8823
411.6660, 523.1735
413.5945, 525.6450
415.5229, 532.4806
417.4514, 540.8727
419.3799, 556.6395
421.3083, 569.7262
423.2368, 570.2696
425.1653, 553.4058
427.0937, 542.0154
429.0222, 544.9184
430.9507, 558.9139
432.8791, 568.5544
434.8076, 571.5656
436.7361, 573.2043
438.6645, 575.7032
440.5930, 579.0980
442.5215, 581.7458
444.4499, 582.8419
446.3784, 582.9828
448.3069, 582.9212
450.2353, 581.5270
452.1638, 581.3193
454.0922, 584.3585
456.0207, 589.9815
457.9492, 594.0199
459.8776, 595.9242
461.8061, 596.5183
463.7346, 595.6946
465.6630, 592.0295
467.5915, 590.4269
469.5200, 592.3254
471.4484, 596.6675
473.3769, 601.6688
475.3054, 607.7589
477.2338, 613.6708
479.1623, 618.3270
481.0908, 621.2017
483.0192, 626.1696
484.9477, 634.1847
486.8762, 644.0759
488.8046, 655.1269
490.7331, 669.6372
492.6616, 681.5669
494.5900, 687.8655
496.5185, 690.5031
498.4470, 697.5403
500.3754, 712.2709
502.3039, 727.5677
504.2324, 739.8259
506.1608, 748.0060
508.0893, 757.6281
510.0178, 770.2386
511.9462, 783.5331
513.8747, 794.5819
515.8032, 802.7040
517.7316, 810.3741
519.6601, 819.8509
521.5886, 830.2268
523.5170, 835.4114
525.4455, 829.9763
527.3740, 824.5640
529.3024, 826.3408
531.2309, 836.1503
533.1594, 838.2762
535.0878, 824.6365
537.0163, 804.8536
538.9448, 787.8323
540.8732, 778.3083
542.8017, 765.0321
544.7302, 743.1677
546.6586, 715.7922
548.5871, 694.1478
550.5156, 682.1934
552.4440, 670.9142
554.3725, 655.6726
556.3010, 634.0908
558.2294, 618.6372
560.1579, 612.0491
562.0864, 609.5576
564.0148, 607.4320
565.9433, 605.8122
567.8718, 604.3436
569.8002, 602.9271
571.7287, 601.5903
573.6572, 600.4138
575.5856, 597.6649
577.5141, 596.6518
579.4426, 598.6705
581.3710, 603.4130
583.2995, 608.8737
585.2280, 617.7439
587.1564, 624.3773
589.0849, 624.9694
591.0134, 614.2293
592.9418, 608.3790
594.8703, 612.4216
596.7988, 619.4973
598.7272, 620.3718
600.6557, 612.3899
602.5842, 605.8298
604.5126, 604.3290
606.4411, 606.8019
608.3696, 609.2767
610.2980, 614.1521
612.2265, 616.7348
614.1550, 613.9339
616.0834, 606.2994
618.0119, 600.1145
619.9404, 596.4108
621.8688, 594.2288
623.7973, 593.1708
625.7258, 594.4186
