##NAMES=Brianyoungite
##RRUFFID=R060431
##IDEAL CHEMISTRY=Zn_3_(CO_3_)(OH)_4_
##LOCALITY=Brownley Hill mine, Nenthead, Cumbria, England
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Sprays of white bladed crystals, associated with colorless tabular or prismatic gypsum.
##STATUS=The identification of this mineral is not yet confirmed
##URL=https://www.rruff.net/odr/rruff_sample/R060431
##MEASURED CHEMISTRY=EDS analysis shows the presence of Zn, with trace S.
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=780

232.1987, 1707.149
234.1272, 1701.968
236.0557, 1697.552
237.9841, 1694.006
239.9126, 1691.476
241.8411, 1690.722
243.7695, 1690.819
245.6980, 1689.927
247.6265, 1687.849
249.5549, 1685.982
251.4834, 1684.625
253.4119, 1683.469
255.3403, 1682.921
257.2688, 1682.337
259.1973, 1680.947
261.1257, 1678.987
263.0542, 1677.277
264.9827, 1675.622
266.9111, 1674.778
268.8396, 1675.374
270.7681, 1675.973
272.6965, 1675.846
274.6250, 1675.136
276.5535, 1673.887
278.4819, 1671.981
280.4104, 1670.835
282.3389, 1671.185
284.2673, 1671.455
286.1958, 1672.710
288.1243, 1672.645
290.0527, 1667.899
291.9812, 1660.966
293.9097, 1658.865
295.8381, 1664.992
297.7666, 1666.112
299.6951, 1659.224
301.6235, 1652.177
303.5520, 1647.034
305.4805, 1642.904
307.4089, 1639.367
309.3374, 1636.274
311.2659, 1632.666
313.1943, 1628.013
315.1228, 1624.295
317.0513, 1621.895
318.9797, 1619.836
320.9082, 1617.091
322.8367, 1615.022
324.7651, 1615.242
326.6936, 1617.404
328.6221, 1618.992
330.5505, 1619.942
332.4790, 1620.502
334.4075, 1620.286
336.3359, 1620.441
338.2644, 1622.094
340.1929, 1623.880
342.1213, 1624.801
344.0498, 1624.801
345.9783, 1623.362
347.9067, 1620.423
349.8352, 1616.809
351.7637, 1612.119
353.6921, 1607.816
355.6206, 1604.412
357.5491, 1601.801
359.4775, 1600.394
361.4060, 1599.847
363.3345, 1598.383
365.2629, 1596.017
367.1914, 1593.957
369.1199, 1592.606
371.0483, 1591.017
372.9768, 1588.518
374.9053, 1585.873
376.8337, 1584.295
378.7622, 1582.762
380.6907, 1578.218
382.6191, 1570.870
384.5476, 1563.672
386.4761, 1556.691
388.4045, 1550.698
390.3330, 1545.832
392.2615, 1542.154
394.1899, 1540.203
396.1184, 1539.261
398.0469, 1538.869
399.9753, 1538.607
401.9038, 1535.732
403.8323, 1529.164
405.7607, 1524.147
407.6892, 1521.678
409.6177, 1521.131
411.5461, 1524.465
413.4746, 1527.842
415.4031, 1526.720
417.3315, 1522.853
419.2600, 1520.611
421.1885, 1520.184
423.1169, 1518.579
425.0454, 1514.447
426.9739, 1510.858
428.9023, 1508.511
430.8308, 1506.706
432.7593, 1505.307
434.6877, 1504.124
436.6162, 1503.347
438.5447, 1502.613
440.4731, 1500.045
442.4016, 1494.879
444.3301, 1489.972
446.2585, 1485.683
448.1870, 1481.421
450.1155, 1475.726
452.0439, 1471.398
453.9724, 1472.025
455.9009, 1474.508
457.8293, 1474.335
459.7578, 1471.504
461.6863, 1468.611
463.6147, 1465.532
465.5432, 1462.729
467.4717, 1460.731
469.4001, 1458.292
471.3286, 1454.629
473.2571, 1450.822
475.1855, 1447.777
477.1140, 1445.010
479.0425, 1441.343
480.9709, 1436.665
482.8994, 1433.536
484.8279, 1432.400
486.7563, 1431.654
488.6848, 1431.988
490.6133, 1431.229
492.5417, 1427.711
494.4702, 1423.977
496.3987, 1421.833
498.3271, 1420.480
500.2556, 1418.789
502.1841, 1416.772
504.1125, 1414.351
506.0410, 1411.464
507.9695, 1408.603
509.8979, 1405.954
511.8264, 1402.896
513.7549, 1398.691
515.6833, 1394.781
517.6118, 1391.961
519.5403, 1389.740
521.4688, 1387.839
523.3972, 1386.081
525.3257, 1383.966
527.2542, 1381.560
529.1826, 1377.424
531.1111, 1370.813
533.0396, 1366.148
534.9680, 1365.915
536.8965, 1365.079
538.8250, 1360.391
540.7534, 1355.678
542.6819, 1354.301
544.6104, 1354.174
546.5388, 1351.631
548.4673, 1347.081
550.3958, 1343.031
552.3242, 1339.512
554.2527, 1337.223
556.1812, 1336.760
558.1096, 1336.149
560.0381, 1334.556
561.9666, 1333.107
563.8950, 1332.769
565.8235, 1332.014
567.7520, 1328.848
569.6804, 1324.678
571.6089, 1322.061
573.5374, 1320.688
575.4658, 1319.841
577.3943, 1319.563
579.3228, 1318.776
581.2512, 1317.106
583.1797, 1315.723
585.1082, 1315.357
587.0366, 1314.642
588.9651, 1312.390
590.8936, 1310.394
592.8220, 1310.741
594.7505, 1308.523
596.6790, 1309.820
598.6074, 1306.562
600.5359, 1305.046
602.4644, 1305.387
604.3928, 1305.039
606.3213, 1303.654
608.2498, 1301.947
610.1782, 1300.255
612.1067, 1297.881
614.0352, 1293.982
615.9636, 1290.284
617.8921, 1288.207
619.8206, 1286.308
621.7490, 1283.158
623.6775, 1279.382
625.6060, 1275.787
627.5344, 1272.434
629.4629, 1269.833
631.3914, 1268.237
633.3198, 1266.278
635.2483, 1263.331
637.1768, 1261.272
639.1052, 1260.885
641.0337, 1260.206
642.9622, 1258.733
644.8906, 1256.775
646.8191, 1254.385
648.7476, 1251.702
650.6760, 1248.323
652.6045, 1244.996
654.5330, 1243.433
656.4614, 1243.150
658.3899, 1241.344
660.3184, 1237.715
662.2468, 1234.875
664.1753, 1233.137
666.1038, 1230.734
668.0322, 1227.061
669.9607, 1224.354
671.8892, 1224.196
673.8176, 1223.453
675.7461, 1220.074
677.6746, 1216.350
679.6030, 1212.864
681.5315, 1210.360
683.4600, 1210.336
685.3884, 1211.584
687.3169, 1211.257
689.2454, 1209.654
691.1738, 1209.212
693.1023, 1209.908
695.0308, 1209.961
696.9592, 1209.210
698.8877, 1208.744
700.8162, 1208.969
702.7446, 1208.717
704.6731, 1207.699
706.6016, 1205.973
708.5300, 1202.356
710.4585, 1199.577
712.3870, 1200.316
714.3154, 1201.411
716.2439, 1199.754
718.1724, 1196.676
720.1008, 1193.946
722.0293, 1191.612
723.9578, 1189.733
725.8862, 1188.263
727.8147, 1187.284
729.7432, 1186.740
731.6716, 1185.004
733.6001, 1181.671
735.5286, 1178.246
737.4570, 1175.172
739.3855, 1171.698
741.3140, 1167.481
743.2424, 1163.365
745.1709, 1159.714
747.0994, 1156.143
749.0278, 1151.759
750.9563, 1148.068
752.8848, 1147.336
754.8132, 1147.059
756.7417, 1143.348
758.6702, 1138.452
760.5986, 1136.412
762.5271, 1136.365
764.4556, 1135.564
766.3840, 1133.949
768.3125, 1131.537
770.2410, 1128.057
772.1694, 1125.500
774.0979, 1124.575
776.0264, 1123.201
777.9548, 1120.764
779.8833, 1118.930
781.8118, 1118.221
783.7402, 1117.533
785.6687, 1116.864
787.5972, 1115.646
789.5256, 1113.005
791.4541, 1110.535
793.3826, 1109.664
795.3110, 1108.949
797.2395, 1106.819
799.1680, 1104.641
801.0964, 1104.554
803.0249, 1105.289
804.9534, 1104.433
806.8818, 1102.301
808.8103, 1099.617
810.7388, 1096.518
812.6672, 1094.655
814.5957, 1094.120
816.5242, 1093.519
818.4526, 1092.823
820.3811, 1092.063
822.3096, 1091.122
824.2380, 1090.696
826.1665, 1091.237
828.0950, 1090.387
830.0234, 1086.774
831.9519, 1084.437
833.8804, 1085.818
835.8088, 1086.032
837.7373, 1081.745
839.6658, 1078.107
841.5942, 1077.920
843.5227, 1078.387
845.4512, 1078.889
847.3796, 1078.266
849.3081, 1074.781
851.2366, 1070.438
853.1650, 1066.472
855.0935, 1063.801
857.0220, 1065.414
858.9504, 1068.467
860.8789, 1066.402
862.8074, 1061.040
864.7358, 1057.572
866.6643, 1055.672
868.5928, 1054.611
870.5212, 1054.078
872.4497, 1051.911
874.3782, 1050.690
876.3066, 1048.949
878.2351, 1046.420
880.1636, 1044.915
882.0920, 1041.094
884.0205, 1038.334
885.9490, 1037.343
887.8774, 1036.353
889.8059, 1035.249
891.7344, 1033.909
893.6628, 1032.034
895.5913, 1030.367
897.5198, 1029.099
899.4482, 1027.801
901.3767, 1026.580
903.3052, 1024.920
905.2336, 1022.351
907.1621, 1019.761
909.0906, 1016.736
911.0190, 1014.924
912.9475, 1016.893
914.8760, 1018.175
916.8044, 1015.033
918.7329, 1011.205
920.6614, 1008.846
922.5898, 1007.790
924.5183, 1009.053
926.4468, 1010.400
928.3752, 1009.011
930.3037, 1007.105
932.2322, 1007.101
934.1606, 1008.239
936.0891, 1009.771
938.0176, 1011.411
939.9460, 1012.268
941.8745, 1013.081
943.8030, 1016.025
945.7314, 1020.182
947.6599, 1023.178
949.5884, 1025.015
951.5168, 1024.827
953.4453, 1027.254
955.3738, 1024.991
957.3022, 1029.104
959.2307, 1030.514
961.1592, 1029.552
963.0876, 1031.228
965.0161, 1035.411
966.9446, 1038.420
968.8730, 1040.215
970.8015, 1040.818
972.7300, 1040.215
974.6584, 1038.041
976.5869, 1034.279
978.5154, 1030.686
980.4438, 1027.381
982.3723, 1022.734
984.3008, 1016.620
986.2292, 1011.201
988.1577, 1006.678
990.0862, 1002.435
992.0146, 998.4587
993.9431, 993.4537
995.8716, 987.0750
997.8000, 982.5775
999.7285, 980.4853
1001.657, 978.8669
1003.585, 977.3931
1005.514, 976.8715
1007.442, 977.5063
