##NAMES=Miyawakiite-(Y)
##RRUFFID=R250122
##IDEAL CHEMISTRY=[box]Y_4_Fe_2_(Si_8_O_20_)(CO_3_)_4_(H_2_O)_3_
##LOCALITY=Suishoyama, Kawamata, Fukushima, Japan
##OWNER=National Museum of Nature and Science, Tsukuba, Japan
##SOURCE=Daisuke Nishio-Hamane
##DESCRIPTION=Transparent  pale-yellow tiny crystals of granular, plate-like, or columnar shape. Type sample, described in Nishio-Hamane et al (2024)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R250122
##MEASURED CHEMISTRY=([box]_0.70_K_0.30_)(Y_2.95_Dy_0.21_Yb_0.12_Er_0.10_Gd_0.08_Sm_0.02_Tb_0.01_Ca_0.33_)(Fe^2+^_1.14_Mg_0.48_Mn_0.24_)Si_8_C_4_O_31.42_[(H_2_O)_2.70_(OH)_0.30_] ; Calculated on the basis of 4 C and 8 Si atoms per formula unit (apfu)
##DIFFRACTION SAMPLE DESCRIPTION=Single crystal, powder profile is calculated
##CELL PARAMETERS=a: 17.53637 b: 17.53637 c: 9.55702 alpha: 90 beta: 90 gamma: 90 volume: 2939.02 crystal system: tetragonal
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=785


Wave,Intensity
101.662109,2309.957031
102.991211,2198.952637
104.320313,2301.70752
105.648438,2252.018555
106.976563,2405.053223
108.304688,2351.643799
109.631836,2197.72168
110.959961,2142.379639
112.286133,2194.993164
113.613281,2201.076416
114.939453,2313.32959
116.265625,2282.182129
117.591797,2353.508789
118.916992,2240.346436
120.242188,2473.886963
121.567383,2327.135986
122.891602,2361.234375
124.21582,2372.96167
125.540039,2269.004639
126.864258,2304.97876
128.1875,2344.702881
129.510742,2298.552246
130.833008,2216.895508
132.155273,2316.404297
133.477539,2288.900391
134.799805,2194.103027
136.121094,2271.241699
137.442383,2213.79248
138.763672,2152.57666
140.084961,2304.581543
141.405273,2350.006836
142.725586,2339.308838
144.044922,2410.968262
145.364258,2338.493408
146.683594,2397.075439
148.00293,2418.221191
149.321289,2405.6521
150.639648,2451.170898
151.958008,2451.724121
153.275391,2411.03125
154.592773,2467.833008
155.910156,2352.0979
157.226563,2273.832275
158.543945,2139.23584
159.859375,2278.612305
161.175781,2305.409424
162.491211,2197.017334
163.806641,2201.269287
165.12207,2284.425781
166.436523,2206.020264
167.750977,2338.081787
169.06543,2332.969238
170.378906,2433.152832
171.692383,2431.820313
173.005859,2347.715332
174.319336,2276.743408
175.631836,2360.065674
176.944336,2383.186768
178.256836,2355.480469
179.568359,2491.608887
180.879883,2388.565186
182.191406,2479.54248
183.501953,2495.17749
184.8125,2450.499268
186.123047,2505.728271
187.432617,2523.265137
188.742188,2652.099609
190.051758,2554.588379
191.361328,2540.066406
192.669922,2453.811035
193.978516,2507.226318
195.287109,2596.545166
196.594727,2572.574707
197.902344,2559.928711
199.209961,2613.415283
200.517578,2695.277344
201.824219,2584.342773
203.130859,2588.705811
204.436523,2630.898193
205.743164,2726.07959
207.047852,2781.566895
208.353516,2723.52002
209.65918,2665.447021
210.963867,2787.22998
212.267578,2765.12915
213.572266,2680.504883
214.875977,2775.845947
216.179688,2812.478516
217.482422,2881.352783
218.786133,2777.717285
220.088867,2770.755127
221.390625,2678.429199
222.693359,2716.977295
223.995117,2558.175781
225.296875,2733.383057
226.597656,2756.780029
227.898438,2808.672852
229.199219,2832.09668
