##NAMES=Miyawakiite-(Y)
##RRUFFID=R250122
##IDEAL CHEMISTRY=[box]Y_4_Fe_2_(Si_8_O_20_)(CO_3_)_4_(H_2_O)_3_
##LOCALITY=Suishoyama, Kawamata, Fukushima, Japan
##OWNER=National Museum of Nature and Science, Tsukuba, Japan
##SOURCE=Daisuke Nishio-Hamane
##DESCRIPTION=Transparent  pale-yellow tiny crystals of granular, plate-like, or columnar shape. Type sample, described in Nishio-Hamane et al (2024)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R250122
##MEASURED CHEMISTRY=([box]_0.70_K_0.30_)(Y_2.95_Dy_0.21_Yb_0.12_Er_0.10_Gd_0.08_Sm_0.02_Tb_0.01_Ca_0.33_)(Fe^2+^_1.14_Mg_0.48_Mn_0.24_)Si_8_C_4_O_31.42_[(H_2_O)_2.70_(OH)_0.30_] ; Calculated on the basis of 4 C and 8 Si atoms per formula unit (apfu)
##DIFFRACTION SAMPLE DESCRIPTION=Single crystal, powder profile is calculated
##CELL PARAMETERS=a: 17.53637 b: 17.53637 c: 9.55702 alpha: 90 beta: 90 gamma: 90 volume: 2939.02 crystal system: tetragonal
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=532


#Wave,#Intensity
226.54492,33856.98438
228.45898,33900.67188
230.37305,33921.14453
232.28711,34048.78125
234.19922,34173.89453
236.11133,34169.89063
238.02344,34482.41016
239.93555,34645.17188
241.84766,34468.0625
243.75781,34620.54297
245.66992,34760.15625
247.58008,34572.60156
249.48828,34555.72656
251.39844,34802.8125
253.30664,34884.34375
255.21484,34573.65625
257.12305,34499.78125
259.03125,34791.10156
260.9375,34851.96484
262.8457,34871.38672
264.75195,34990.60938
266.65625,34753.40234
268.5625,34968.59375
270.4668,35353.76563
272.37109,35255.27344
274.27539,35099.64063
276.17969,35090.58594
278.08398,35284.01172
279.98633,35389.23828
281.88867,35376.33594
283.79102,35477.72656
285.69141,35489.51563
287.59375,35934.03125
289.49414,35604.08984
291.39453,35664.00781
293.29492,35911.20313
295.19336,35781.32422
297.09375,36256.30469
298.99219,36270.87109
300.89063,36293.25391
302.78711,35811.85156
304.68555,36403.13672
306.58203,36275.78516
308.47852,36257.79297
310.375,35876.27344
312.27148,35962.4375
314.16602,35761.86719
316.06055,36084.02734
317.95508,35812.96875
319.84961,35862.66406
321.74219,35784.51953
323.63672,36028.66406
325.5293,36175.02344
327.42188,36005.5
329.3125,36371.29297
331.20508,36419.85547
333.0957,36639.57813
334.98633,36626.80469
336.87695,36813.99219
338.76758,36552.85938
340.65625,36917.9375
342.54492,36665.86328
344.43359,37118.76953
346.32227,37172.80078
348.20898,37022.6875
350.09766,36981.15625
351.98438,37172.66406
353.87109,37466.39844
355.75586,37462.91797
357.64258,37562.9375
359.52734,37630.23438
361.41211,37582.21484
363.29688,37615.45313
365.17969,37876.87891
367.06445,38646.02344
368.94727,38368.58594
370.83008,38777.3125
372.71289,38674.34375
374.59375,38991.41797
376.47656,38879.25
378.35742,39422.40625
380.23828,39077.76172
382.11719,39255.91406
383.99805,39024.09766
385.87695,39060.34375
387.75586,38928.30469
389.63477,38893.52344
391.51172,39348.05859
393.39063,39413.34375
395.26758,38925.93359
397.14453,39188.59375
399.02148,39334.1875
400.89648,39062.39453
402.77344,39229.09766
404.64844,38963.74609
406.52344,38889.34375
408.39648,39111.46875
410.27148,38754.94141
412.14453,38874.27344
414.01758,39101.80859
415.89063,38907.29688
417.76367,38880.26953
419.63477,38756.88672
421.50586,39240.68359
423.37695,38973.39844
425.24805,39322.73828
427.11914,39216.50781
428.98828,39255.55859
430.85742,39077.89453
432.72656,39431.52734
434.5957,39321.24609
436.46289,39377.53516
438.33203,39462.94922
440.19922,39627.77734
442.06641,39746.35938
443.93164,39597.62891
445.79883,39873.79297
447.66406,39868.03125
449.5293,40071.52734
451.39453,40381.08984
453.25977,40230.99609
455.12305,40045.04688
456.98633,40443.61719
458.84961,40346.46875
460.71289,40416.375
462.57617,40827.22266
464.4375,40779.17578
466.29883,41445.07813
468.16016,41085.20313
470.02148,41354.48828
471.88086,40910.76953
473.74219,40703.28125
475.60156,40926.15234
477.46094,40698.63672
479.31836,40679.69531
481.17773,40772.41797
483.03516,40865.17578
484.89258,40697.28516
486.75,40893.82813
488.60742,41087.78906
490.46289,40967.74219
492.31836,41038.00391
494.17383,40941.85547
496.0293,41040.09766
497.88477,41275.58984
499.73828,41207.39844
501.5918,41467.01172
503.44531,41474.80859
505.29883,41535.93359
507.15039,41390.38672
509.00391,41674.26563
510.85547,41707.44922
512.70703,41705.95313
514.55664,42253.01953
516.4082,42132.82031
518.25781,42196.83594
520.10742,41849.51172
521.95703,41961.58203
523.80664,41926.71484
525.6543,42097.64844
527.50391,42058.78125
529.35156,42287.30859
531.19727,42144.14844
533.04492,42340.68359
534.89063,42030.21875
536.73828,41955.14844
538.58398,42216.01563
540.42773,42371.22266
542.27344,42280.09766
544.11719,42543.87891
545.96289,42517.05078
547.80664,42404.45313
549.64844,42275.71484
551.49219,42676.45313
553.33398,42771.64063
555.17578,42402.82031
557.01758,42728.71875
558.85938,42856.17578
560.70117,42987.71484
562.54102,43036.07813
564.38086,43335.53906
566.2207,43401.45313
568.06055,43406.94922
569.89844,43413.78516
571.73633,43251.30078
573.57422,43544.40234
575.41211,43375.14453
577.25,43427.69141
579.08594,43812.47266
580.92383,43449.43359
582.75977,43489.91016
584.59375,43654.22656
586.42969,43805.14453
588.26367,43684.14063
590.09961,43545.57031
591.93359,43433.87891
593.76563,43371.98828
595.59961,43673.9375
597.43164,43457.05078
599.26563,43872.39844
601.09766,43898.19531
602.92773,43789.11328
604.75977,43534.27344
606.58984,43978.32813
608.42188,43842.1875
610.25,43805.89063
612.08008,43969.41797
613.91016,44176.23828
615.73828,44171.05078
617.56641,44390.16016
619.39453,44268.77734
621.22266,44478.53516
623.04883,44907.42188
624.87695,44585.91406
626.70313,44940.60547
628.5293,45058.67969
630.35352,45760.06641
632.17969,46100.35156
634.00391,46488.16797
635.82813,47638.55469
637.65234,48373.61719
639.47656,48477.67188
641.29883,48116.98438
643.12305,47467.44531
644.94531,46965.38672
646.76758,46491.57813
648.58789,46105.71484
650.41016,45858.04688
652.23047,45402.67188
654.05078,45673.16797
655.87109,45532.47266
657.68945,45340.11719
659.50977,45465.45703
661.32813,45158.89844
663.14648,45455.42969
664.96484,45569.99609
666.7832,45556.84375
668.59961,45547.75781
670.41602,45500.58984
672.23242,45498.28516
674.04883,45664.66406
675.86523,45748.10938
677.67969,45559.39063
679.49414,45453.625
681.30859,45286.53906
683.12305,45624.63672
684.9375,45458.86719
686.75,45461.97266
688.5625,45655.86719
690.375,45504.98438
692.1875,45508.09375
694,45473.01563
695.81055,45946.68359
697.62109,46061.75
699.43164,45946.25391
701.24219,46571.82422
703.05078,46004.51563
704.86133,46248.03906
706.66992,45954.92188
708.47852,45898
710.28711,45637.46484
712.09375,45844.20703
713.90234,45937.58203
715.70898,45845.04688
717.51563,45986.31641
719.32031,46074.30078
721.12695,46381.22266
722.93164,45942.47656
724.73633,45974.38281
726.54102,46213.02344
728.3457,46154.61719
730.15039,46344.08594
731.95313,46492.53906
733.75586,46690.37891
735.55859,46590.90234
737.36133,46659.98828
739.16211,47099.30078
740.96484,46998.46484
742.76563,46580.71484
744.56641,46769.21094
746.36719,46813.69531
748.16602,46929.56641
749.96484,47248.67969
751.76563,47412.75391
753.56445,47197.8125
755.36133,47650.44141
757.16016,47603.08594
758.95703,48126.08984
760.75391,47798.375
762.55078,47898.14063
764.34766,48172.60938
766.14453,48231.22266
767.93945,47998.17188
769.73438,48121.44922
771.5293,47904.78125
773.32422,47989.53906
775.11719,48203.77344
776.91211,48356.11328
778.70508,48399.67969
780.49805,48641.69531
782.28906,48839.70703
784.08203,48808.95313
785.87305,48834.71875
787.66406,49194.25391
789.45508,49251.83594
791.24609,49172.83984
793.03711,49419.50781
794.82617,49234.21875
796.61523,49493.42578
798.4043,49627.07422
800.19336,49800.83203
801.98047,49842.03125
803.76953,50317.15625
805.55664,50111.07031
807.34375,50774.46875
809.13086,50828.34766
810.91602,51005.33984
812.70313,51027.46875
814.48828,50824.05859
816.27344,50958.25391
818.05664,51163.09766
819.8418,51701.71484
821.625,51714.30469
823.41016,52084.27734
825.19336,51889.125
826.97461,51947.48438
828.75781,51804.88672
830.53906,51540.21875
832.32031,51398.84766
834.10156,51827.46484
835.88281,51537.64844
837.66406,51805.51172
839.44336,51312.92969
841.22266,51782.14063
843.00195,51904.42969
844.78125,51221.27344
846.56055,51049.00391
848.33789,51007.25391
850.11719,51544.98828
851.89453,50359.35938
853.66992,50954.17969
855.44727,50915.14453
857.22266,50590.95703
859,50735.45703
860.77539,50397.16406
862.54883,50396.92969
864.32422,50547.04297
866.09961,50603.92188
867.87305,50646.89844
869.64648,50511.58203
871.41992,50895.91016
873.19141,50416.36328
874.96484,50172.17969
876.73633,50690.51172
878.50781,50730.75391
880.2793,50849.11719
882.05078,50738.73047
883.82031,50844.58203
885.58984,51306.38281
887.36133,51235.10156
889.12891,51653.89453
890.89844,51808.90234
892.66797,51767.00781
894.43555,52053.44141
896.20313,51736.26563
897.9707,51701.30859
899.73828,51638.37109
901.50391,51671.89063
903.27148,51885.86328
905.03711,52112.51172
906.80273,51642.39063
908.56641,52452.72656
910.33203,52191.05859
912.0957,52317.13672
913.85938,52322.82422
915.62305,52915.46094
917.38672,52551.37109
919.15039,52872.42578
920.91211,52435.26953
922.67383,52638.65625
924.43555,53046.875
926.19727,52638.91797
927.95898,53372.79297
929.71875,53290.28125
931.47852,53252.64063
933.23828,53259.91016
934.99805,53917.30469
936.75781,53442.98047
938.51563,53843.61719
940.27539,53652.88672
942.0332,53688.33984
943.78906,53764.56641
945.54688,54026.41406
947.30469,53856.64063
949.06055,53861.20703
950.81641,54189.35938
952.57227,54286.86719
954.32617,54544.86719
956.08203,54210.29297
957.83594,54596.51953
959.58984,54608.27344
961.34375,54745.40234
963.09766,54613.46484
964.85156,54418.04688
966.60352,54646.83984
968.35547,54803.82031
970.10742,54736.64063
