##NAMES=Pseudomalachite
##RRUFFID=R050264
##IDEAL CHEMISTRY=Cu_5_(PO_4_)_2_(OH)_4_
##LOCALITY=Cerro Morita, 27 km southwest of Agua Prieta, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Blue powdery crust
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R050264
##MEASURED CHEMISTRY=(Cu_4.91_Al_0.04_[box]_0.03_Ca_0.02_)(P_1.98_S_0.02_)O_8_(OH)_4_ ; light phase
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=532

5.973729e+002, 4.455620e+003
5.993014e+002, 4.489006e+003
6.012299e+002, 4.521934e+003
6.031583e+002, 4.556273e+003
6.050868e+002, 4.587826e+003
6.070153e+002, 4.613860e+003
6.089437e+002, 4.637188e+003
6.108722e+002, 4.648345e+003
6.128007e+002, 4.642661e+003
6.147291e+002, 4.624982e+003
6.166576e+002, 4.605025e+003
6.185861e+002, 4.580982e+003
6.205145e+002, 4.558389e+003
6.224430e+002, 4.537423e+003
6.243715e+002, 4.518173e+003
6.262999e+002, 4.505456e+003
6.282284e+002, 4.500773e+003
6.301569e+002, 4.499502e+003
6.320853e+002, 4.500780e+003
6.340138e+002, 4.503930e+003
6.359423e+002, 4.505636e+003
6.378707e+002, 4.506235e+003
6.397992e+002, 4.504097e+003
6.417277e+002, 4.498519e+003
6.436561e+002, 4.489140e+003
6.455846e+002, 4.478243e+003
6.475131e+002, 4.464792e+003
6.494415e+002, 4.452092e+003
6.513700e+002, 4.444217e+003
6.532985e+002, 4.442370e+003
6.552269e+002, 4.442833e+003
6.571554e+002, 4.444600e+003
6.590839e+002, 4.448160e+003
6.610123e+002, 4.454638e+003
6.629408e+002, 4.464970e+003
6.648693e+002, 4.476357e+003
6.667977e+002, 4.488675e+003
6.687262e+002, 4.500942e+003
6.706547e+002, 4.511074e+003
6.725831e+002, 4.516536e+003
6.745116e+002, 4.522538e+003
6.764401e+002, 4.531183e+003
6.783685e+002, 4.542649e+003
6.802970e+002, 4.554095e+003
6.822255e+002, 4.568135e+003
6.841539e+002, 4.579869e+003
6.860824e+002, 4.584476e+003
6.880109e+002, 4.582354e+003
6.899393e+002, 4.583117e+003
6.918678e+002, 4.591539e+003
6.937963e+002, 4.601211e+003
6.957247e+002, 4.607982e+003
6.976532e+002, 4.609818e+003
6.995817e+002, 4.613206e+003
7.015101e+002, 4.620614e+003
7.034386e+002, 4.628848e+003
7.053671e+002, 4.633948e+003
7.072955e+002, 4.634919e+003
7.092240e+002, 4.637625e+003
7.111525e+002, 4.644349e+003
7.130809e+002, 4.653298e+003
7.150094e+002, 4.662144e+003
7.169379e+002, 4.669776e+003
7.188663e+002, 4.678485e+003
7.207948e+002, 4.687802e+003
7.227233e+002, 4.698467e+003
7.246517e+002, 4.711718e+003
7.265802e+002, 4.728823e+003
7.285087e+002, 4.745697e+003
7.304371e+002, 4.760835e+003
7.323656e+002, 4.774390e+003
7.342941e+002, 4.787573e+003
7.362225e+002, 4.799950e+003
7.381510e+002, 4.812331e+003
7.400795e+002, 4.826285e+003
7.420079e+002, 4.841100e+003
7.439364e+002, 4.853053e+003
7.458649e+002, 4.861226e+003
7.477933e+002, 4.868030e+003
7.497218e+002, 4.874477e+003
7.516503e+002, 4.880603e+003
7.535787e+002, 4.886782e+003
7.555072e+002, 4.891517e+003
7.574357e+002, 4.897104e+003
7.593641e+002, 4.905037e+003
7.612926e+002, 4.914626e+003
7.632211e+002, 4.922290e+003
7.651495e+002, 4.926049e+003
7.670780e+002, 4.928587e+003
7.690065e+002, 4.930939e+003
7.709349e+002, 4.932289e+003
7.728634e+002, 4.938061e+003
7.747919e+002, 4.952830e+003
7.767203e+002, 4.969403e+003
7.786488e+002, 4.981844e+003
7.805773e+002, 4.990103e+003
7.825057e+002, 5.003354e+003
7.844342e+002, 5.024876e+003
7.863627e+002, 5.049994e+003
7.882911e+002, 5.074542e+003
7.902196e+002, 5.095938e+003
7.921481e+002, 5.121260e+003
7.940765e+002, 5.158270e+003
7.960050e+002, 5.193413e+003
7.979335e+002, 5.213232e+003
7.998619e+002, 5.217508e+003
8.017904e+002, 5.218114e+003
8.037189e+002, 5.216706e+003
8.056473e+002, 5.214352e+003
8.075758e+002, 5.212014e+003
8.095043e+002, 5.210556e+003
8.114327e+002, 5.207463e+003
8.133612e+002, 5.200444e+003
8.152897e+002, 5.192271e+003
8.172181e+002, 5.185337e+003
8.191466e+002, 5.178885e+003
8.210751e+002, 5.174391e+003
8.230035e+002, 5.172610e+003
8.249320e+002, 5.173057e+003
8.268605e+002, 5.175052e+003
8.287889e+002, 5.178207e+003
8.307174e+002, 5.186516e+003
